,source,target,weight
0,Gerald,Randy,2
1,Cartman,Kyle,20
2,Butters,Cartman,6
3,Butters,Kyle,4
4,Gerald,Sheila,2
5,Cartman,Stan,2
6,Cartman,Tuong Lu Kim,2
7,Cartman,Wendy,2
8,Kyle,Stan,2
9,Kyle,Tuong Lu Kim,2
10,Kyle,Wendy,2
11,Butters,Stan,1
12,Stan,Tuong Lu Kim,1
13,Stan,Wendy,1
14,Butters,Tuong Lu Kim,1
15,Butters,Wendy,1
16,Tuong Lu Kim,Wendy,1
17,Cartman,Gerald,4
18,Cartman,Liane,2
19,Gerald,Liane,1
20,Cartman,Tolkien,2
21,Kyle,Tolkien,2
22,Cartman,David,10
23,David,Kyle,10
24,Gerald,Kyle,4
25,David,Gerald,5
