,source,target,weight
0,Butters,Kyle,6
1,Charlotte,Kyle,2
2,Butters,Charlotte,1
3,Cartman,Kenny,4
4,Cartman,Kyle,12
5,Cartman,Stan,4
6,Butters,Cartman,4
7,Kenny,Kyle,4
8,Kenny,Stan,1
9,Butters,Kenny,2
10,Kyle,Stan,4
11,Butters,Stan,1
12,Randy,Stan,5
13,Sharon,Stan,4
14,Randy,Sharon,5
15,Caitlyn,Randy,1
16,Classi,Jimmy,3
17,Cartman,Liane,2
18,Kyle,Leslie,12
19,Cartman,David,10
20,Cartman,Gerald,2
21,Cartman,Jimmy,2
22,Cartman,Leslie,4
23,Cartman,Randy,2
24,Cartman,Sharon,2
25,Cartman,Stephen,4
26,David,Kyle,10
27,Gerald,Kyle,2
28,Jimmy,Kyle,2
29,Kyle,Randy,2
30,Kyle,Sharon,2
31,Kyle,Stephen,4
32,David,Stan,5
33,Gerald,Stan,1
34,Jimmy,Stan,1
35,Leslie,Stan,2
36,Stan,Stephen,2
37,David,Gerald,5
38,David,Jimmy,5
39,David,Leslie,10
40,David,Randy,5
41,David,Sharon,5
42,David,Stephen,10
43,Gerald,Jimmy,1
44,Gerald,Leslie,2
45,Gerald,Randy,1
46,Gerald,Sharon,1
47,Gerald,Stephen,2
48,Jimmy,Leslie,2
49,Jimmy,Randy,1
50,Jimmy,Sharon,1
51,Jimmy,Stephen,2
52,Leslie,Randy,2
53,Leslie,Sharon,2
54,Leslie,Stephen,4
55,Randy,Stephen,2
56,Sharon,Stephen,2
