,source,target,weight
0,Jim,Jimbo,1
1,Jim,Mike,4
2,Jim,Randy,1
3,Jim,Stephen,2
4,Jimbo,Mike,2
5,Jimbo,Randy,1
6,Jimbo,Stephen,2
7,Mike,Randy,2
8,Mike,Stephen,4
9,Randy,Stephen,6
10,Cartman,Heidi,2
11,Cartman,Wendy,4
12,Heidi,Wendy,1
13,Bebe,Cartman,2
14,Cartman,Nelly,2
15,Bebe,Nelly,1
16,Bebe,Wendy,1
17,Nelly,Wendy,1
18,Randy,Stan,1
19,Sharon,Stan,1
20,Randy,Sharon,1
21,Caitlyn,Garrison,3
22,Garrison,Matt,2
23,Cartman,Kyle,12
24,Butters,Cartman,2
25,Cartman,Clyde,4
26,Cartman,Craig,2
27,Butters,Kyle,2
28,Clyde,Kyle,4
29,Craig,Kyle,2
30,Butters,Clyde,2
31,Butters,Craig,1
32,Clyde,Craig,2
33,Garrison,Jim,1
34,Garrison,Mike,2
35,Gerald,Kyle,2
