,source,target,weight
0,Gerald,Sheila,2
1,Kyle,Stan,12
2,Clyde,Kyle,20
3,Clyde,Stan,8
4,Cartman,Stan,10
5,Annie,Bebe,2
6,Annie,Wendy,4
7,Bebe,Wendy,1
8,Annie,Butters,2
9,Annie,Clyde,4
10,Butters,Clyde,6
11,Butters,Kyle,4
12,Craig,Kyle,6
13,Jimmy,Kyle,2
14,Butters,Craig,2
15,Butters,Jimmy,1
16,Clyde,Craig,6
17,Clyde,Jimmy,2
18,Craig,Jimmy,1
19,Kyle,Tolkien,6
20,Butters,Stan,1
21,Craig,Stan,2
22,Stan,Tolkien,3
23,Butters,Tolkien,1
24,Clyde,Tolkien,6
25,Craig,Tolkien,2
26,Cartman,Kyle,12
27,Cartman,Clyde,8
28,Cartman,Tolkien,4
29,Cartman,Craig,2
30,Annie,Nelly,2
31,Annie,Nichole,2
32,Nelly,Nichole,1
33,Nelly,Wendy,1
34,Nichole,Wendy,1
