,source,target,weight
0,Gerald,Kyle,6
1,Butters,Charlotte,1
2,Dick,Gerald,6
3,Kyle,Stan,4
4,Butters,Kyle,2
5,Clyde,Kyle,4
6,Kyle,Tolkien,2
7,Butters,Stan,2
8,Clyde,Stan,2
9,Stan,Tolkien,1
10,Butters,Clyde,2
11,Butters,Tolkien,1
12,Clyde,Tolkien,2
13,Dick,Sheila,1
14,Gerald,Sheila,5
15,Kyle,Wendy,2
16,Stan,Wendy,2
17,Butters,Jason,1
18,Gerald,Michael,6
19,Gerald,Randy,1
20,Gerald,Richard,4
21,Gerald,Stephen,2
22,Michael,Randy,6
23,Michael,Richard,24
24,Michael,Stephen,12
25,Randy,Richard,4
26,Randy,Stephen,2
27,Richard,Stephen,8
28,Bebe,Wendy,1
29,Butters,Wendy,1
30,Ike,Kyle,2
31,Kyle,Sheila,2
32,Gerald,Ike,1
33,Ike,Sheila,1
34,Cartman,Kyle,8
35,Cartman,Heidi,4
36,Heidi,Kyle,4
37,Boys,Butters,1
