,source,target,weight
0,Harrison,Laura,1
1,Harrison,Stephen,4
2,Laura,Stephen,2
3,Kyle,Sheila,8
4,Gerald,Kyle,2
5,Ike,Kyle,12
6,Gerald,Ike,1
7,Gerald,Sheila,1
8,Ike,Sheila,3
9,Butters,Cartman,6
10,Cartman,Heidi,10
11,Butters,Heidi,1
12,Kyle,Maxi,2
13,Harrison,Kyle,2
14,Kyle,Randy,2
15,Kyle,Stephen,4
16,Harrison,Maxi,1
17,Ike,Maxi,1
18,Maxi,Randy,1
19,Maxi,Stephen,2
20,Harrison,Ike,1
21,Harrison,Randy,1
22,Ike,Randy,1
23,Ike,Stephen,2
24,Randy,Stephen,2
25,Garrison,Kyle,4
26,Garrison,Ike,2
27,Dick,Gerald,1
