,source,target,weight
0,Cartman,Stan,6
1,Butters,Cartman,4
2,Cartman,Craig,6
3,Cartman,Heidi,6
4,Cartman,Tolkien,2
5,Butters,Stan,1
6,Craig,Stan,1
7,Heidi,Stan,2
8,Stan,Tolkien,1
9,Butters,Craig,2
10,Butters,Heidi,2
11,Butters,Tolkien,1
12,Craig,Heidi,2
13,Craig,Tolkien,1
14,Heidi,Tolkien,1
15,Craig,Tweek,7
16,Cartman,Kyle,8
17,Kyle,Stan,4
18,Cartman,Gary,2
19,Cartman,Lola,2
20,Gary,Lola,1
21,Richard,Tweek,4
22,Cartman,Jimmy,2
23,Butters,Jimmy,1
24,Craig,Jimmy,1
25,Heidi,Jimmy,1
26,Cartman,Doctor,2
27,Craig,Doctor,1
