,source,target,weight
0,Doctor,Jimmy,1
1,Cartman,Stan,16
2,Cartman,Jimmy,10
3,Cartman,Tolkien,6
4,Jimmy,Stan,4
5,Stan,Tolkien,2
6,Jimmy,Tolkien,3
7,Cartman,Kyle,28
8,Cartman,Clyde,12
9,Cartman,Craig,4
10,Kyle,Stan,10
11,Clyde,Kyle,12
12,Craig,Kyle,4
13,Clyde,Stan,6
14,Craig,Stan,2
15,Clyde,Craig,4
16,Butters,Stephen,8
17,Butters,Cartman,6
18,Butters,Kyle,4
19,Butters,Stan,3
20,Linda,Randy,2
21,Linda,Ryan,2
22,Linda,Stephen,4
23,Linda,Steve,6
24,Linda,Thomas,4
25,Randy,Ryan,1
26,Randy,Stephen,4
27,Randy,Steve,6
28,Randy,Thomas,6
29,Ryan,Stephen,2
30,Ryan,Steve,3
31,Ryan,Thomas,2
32,Stephen,Steve,12
33,Stephen,Thomas,8
34,Steve,Thomas,12
35,Adam,Butters,3
36,Cartman,Heidi,2
37,Heidi,Kyle,2
38,Jimmy,Kyle,8
39,Heidi,Stan,1
40,Heidi,Jimmy,1
41,Mark,Richard,8
42,Mark,Stephen,4
43,Mark,Ryan,2
44,Adam,Cartman,4
45,Cartman,Mark,8
46,Adam,Kyle,2
47,Kyle,Mark,8
48,Adam,Stan,2
49,Mark,Stan,2
50,Adam,Clyde,2
51,Adam,Jimmy,1
52,Adam,Mark,2
53,Butters,Clyde,2
54,Butters,Jimmy,1
55,Butters,Mark,2
56,Clyde,Jimmy,4
57,Clyde,Mark,4
58,Jimmy,Mark,4
59,Cartman,Kenny,4
60,Kenny,Kyle,4
61,Cartman,Randy,2
62,Cartman,Thomas,4
63,Kyle,Randy,2
64,Kyle,Thomas,4
65,Kyle,Tolkien,4
66,Jimmy,Randy,1
67,Jimmy,Thomas,2
68,Mark,Randy,2
69,Mark,Thomas,4
70,Mark,Tolkien,2
71,Randy,Tolkien,1
72,Thomas,Tolkien,2
73,Cartman,Stephen,4
74,Stan,Stephen,2
75,Adam,Stephen,2
76,Cartman,Tweek,2
77,Kenny,Stan,1
78,Clyde,Kenny,2
79,Craig,Kenny,1
80,Jimmy,Kenny,1
81,Kenny,Tolkien,1
82,Kenny,Tweek,1
83,Kyle,Tweek,2
84,Stan,Tweek,1
85,Clyde,Tolkien,2
86,Clyde,Tweek,2
87,Craig,Jimmy,1
88,Craig,Tolkien,1
89,Craig,Tweek,1
90,Jimmy,Tweek,1
91,Tolkien,Tweek,1
