,source,target,weight
0,Ike,Kyle,2
1,Garrison,Tweek,1
2,Cartman,Kyle,20
3,Cartman,Stan,8
4,Cartman,Craig,6
5,Cartman,Heidi,12
6,Cartman,Randy,4
7,Cartman,Tolkien,2
8,Cartman,Tweek,4
9,Kyle,Stan,8
10,Craig,Kyle,8
11,Heidi,Kyle,10
12,Kyle,Randy,2
13,Kyle,Tolkien,2
14,Kyle,Tweek,6
15,Craig,Stan,4
16,Heidi,Stan,4
17,Randy,Stan,3
18,Stan,Tolkien,1
19,Stan,Tweek,3
20,Craig,Heidi,3
21,Craig,Randy,1
22,Craig,Tolkien,1
23,Craig,Tweek,3
24,Heidi,Randy,2
25,Heidi,Tolkien,1
26,Heidi,Tweek,2
27,Randy,Tolkien,1
28,Randy,Tweek,1
29,Tolkien,Tweek,1
30,Jimbo,Randy,2
31,Randy,Steven,2
32,Cartman,Garrison,4
33,Garrison,Kyle,2
34,Garrison,Stan,2
35,Garrison,Heidi,2
36,Randy,Sharon,2
37,Cartman,Sharon,2
38,Cartman,Sheila,2
39,Sharon,Stan,1
40,Sheila,Stan,1
41,Heidi,Sharon,1
42,Heidi,Sheila,1
43,Garrison,Randy,1
44,Garrison,Sharon,1
45,Garrison,Sheila,1
46,Randy,Sheila,1
47,Sharon,Sheila,1
48,Jimbo,Stan,1
