,source,target,weight
0,Cartman,Kenny,4
1,Cartman,Kyle,20
2,Cartman,Stan,8
3,Kenny,Kyle,4
4,Kenny,Stan,2
5,Kyle,Stan,8
6,Clyde,Kenny,4
7,Jimmy,Kenny,1
8,Clyde,Jimmy,4
9,Kenny,Wendy,1
10,Butters,Cartman,2
11,Cartman,Clyde,4
12,Cartman,Craig,2
13,Cartman,Jimmy,2
14,Cartman,Tolkien,2
15,Cartman,Wendy,2
16,Butters,Kyle,2
17,Clyde,Kyle,4
18,Craig,Kyle,2
19,Jimmy,Kyle,2
20,Kyle,Tolkien,2
21,Kyle,Wendy,2
22,Butters,Stan,1
23,Clyde,Stan,2
24,Craig,Stan,1
25,Jimmy,Stan,1
26,Stan,Tolkien,1
27,Stan,Wendy,1
28,Butters,Clyde,2
29,Butters,Craig,1
30,Butters,Jimmy,1
31,Butters,Tolkien,1
32,Butters,Wendy,1
33,Clyde,Craig,2
34,Clyde,Tolkien,2
35,Clyde,Wendy,2
36,Craig,Jimmy,1
37,Craig,Tolkien,1
38,Craig,Wendy,1
39,Jimmy,Tolkien,2
40,Jimmy,Wendy,1
41,Tolkien,Wendy,1
42,Jimbo,Mackey,1
43,Jimbo,Stephen,4
44,Mackey,Stephen,2
45,Kenny,Mackey,4
46,Linda,Randy,2
47,Linda,Stephen,8
48,Randy,Stephen,2
49,Cartman,Gerald,2
50,Cartman,Richard,8
51,Gerald,Kyle,2
52,Kyle,Richard,8
53,Gerald,Richard,4
