,source,target,weight
0,Cartman,Stan,2
1,Cartman,Randy,2
2,Randy,Stan,3
3,Randy,Stephen,4
4,Cartman,Stephen,4
5,Cartman,Kyle,16
6,Cartman,Gerald,2
7,Cartman,Ike,2
8,Cartman,Sheila,2
9,Gerald,Kyle,2
10,Ike,Kyle,2
11,Kyle,Sheila,2
12,Gerald,Ike,1
13,Gerald,Sheila,1
14,Ike,Sheila,1
15,Stan,Towelie,1
16,Randy,Towelie,2
17,David,Jeff,105
18,David,Kyle,40
19,Jeff,Kyle,24
20,Boy,Kyle,2
21,Boy,David,5
22,Boy,Jeff,3
23,Cartman,David,20
24,Cartman,Jeff,12
25,Jimbo,Randy,1
26,Jimbo,Stephen,2
27,Cartman,Kids,2
28,Kids,Kyle,2
29,David,Kids,5
30,Jeff,Kids,3
31,Randy,Sharon,1
