,source,target,weight
0,Cartman,Stan,28
1,Cartman,Kenny,16
2,Cartman,Kyle,56
3,Kenny,Kyle,18
4,Bebe,Cartman,2
5,Cartman,Kids,2
6,Bebe,Kids,1
7,Butters,Cartman,4
8,Kenny,Stan,8
9,Butters,Kenny,1
10,Kyle,Stan,26
11,Butters,Kyle,4
12,Butters,Stan,1
13,Marvin,Stan,1
14,Cartman,Lola,2
15,Cartman,Red,2
16,Cartman,Scott,16
17,Kyle,Lola,2
18,Kyle,Red,2
19,Kyle,Scott,12
20,Lola,Stan,1
21,Red,Stan,1
22,Scott,Stan,8
23,Lola,Red,1
24,Lola,Scott,2
25,Red,Scott,2
26,Cartman,Elderly Woman in Wheelchair,2
27,Cartman,Man with Green Coat,4
28,Elderly Woman in Wheelchair,Kyle,2
29,Kyle,Man with Green Coat,4
30,Elderly Woman in Wheelchair,Stan,1
31,Man with Green Coat,Stan,1
32,Elderly Woman in Wheelchair,Man with Green Coat,1
33,Clark,Ellen,3
34,Clark,Richard,4
35,Ellen,Richard,12
36,Clark,Scott,2
37,Cartman,Stephen,12
38,Kyle,Stephen,8
39,Man with Green Coat,Stephen,2
40,Gerald,Kyle,2
41,Cartman,Clyde,8
42,Clyde,Kyle,8
43,Butters,Clyde,2
44,Butters,Scott,2
45,Clyde,Scott,4
46,Cartman,Gerald,2
47,Gerald,Stephen,2
48,Clyde,Kenny,2
49,Kenny,Stephen,2
50,Clyde,Stan,2
51,Stan,Stephen,2
52,Clyde,Stephen,4
