,source,target,weight
0,Cartman,Kyle,8
1,Cartman,Stan,4
2,Butters,Cartman,6
3,Cartman,Clyde,4
4,Cartman,Tolkien,2
5,Kyle,Stan,2
6,Butters,Kyle,4
7,Clyde,Kyle,4
8,Kyle,Tolkien,2
9,Butters,Stan,2
10,Clyde,Stan,2
11,Stan,Tolkien,1
12,Butters,Clyde,2
13,Butters,Tolkien,1
14,Clyde,Tolkien,2
15,Heather,Wendy,2
16,Cartman,Liane,4
17,Frank,Mike,2
18,Cartman,Craig,2
19,Cartman,Heather,2
20,Cartman,Jimmy,2
21,Cartman,Wendy,4
22,Craig,Stan,1
23,Heather,Stan,1
24,Jimmy,Stan,1
25,Stan,Wendy,1
26,Butters,Craig,1
27,Butters,Heather,1
28,Butters,Jimmy,1
29,Butters,Wendy,2
30,Craig,Heather,1
31,Craig,Jimmy,1
32,Craig,Wendy,1
33,Heather,Jimmy,1
34,Jimmy,Wendy,1
35,Kyle,Wendy,2
