,source,target,weight
0,Kyle,Stan,1980
1,Cartman,Stan,1659
2,Ike,Stan,23
3,Cartman,Kyle,1782
4,Ike,Kyle,92
5,Cartman,Ike,31
6,Kenny,Stan,418
7,Kenny,Kyle,407
8,Jason,Stan,11
9,Jason,Kyle,10
10,Cartman,Jason,14
11,Stan,Wendy,132
12,Kyle,Wendy,93
13,Cartman,Wendy,112
14,Cartman,Kenny,391
15,Cartman,Liane,194
16,Kyle,Liane,42
17,Kenny,Wendy,16
18,Liane,Stan,44
19,Jimbo,Stan,96
20,Jimbo,Kyle,79
21,Cartman,Jimbo,80
22,Jimbo,Liane,10
23,Jimbo,Kenny,10
24,Ned,Stan,15
25,Kyle,Ned,12
26,Jimbo,Ned,67
27,Cartman,Ned,14
28,Kenny,Ned,1
29,Liane,Randy,20
30,Kyle,Pip,19
31,Big Gay Al,Stan,12
32,Shelly,Stan,50
33,Kyle,Shelly,7
34,Cartman,Shelly,21
35,Kyle,Mephesto,7
36,Kenny,Mephesto,3
37,Mephesto,Stan,9
38,Cartman,Mephesto,7
39,Cartman,Pip,19
40,Jason,Pip,1
41,Pip,Stan,28
42,Randy,Stan,394
43,Sharon,Stan,201
44,Randy,Shelly,51
45,Sharon,Shelly,41
46,Randy,Sharon,306
47,Randy,Sheila,67
48,Liane,Sheila,25
49,Sheila,Stan,85
50,Sharon,Sheila,72
51,Cartman,Randy,166
52,Cartman,Sharon,60
53,Cartman,Sheila,78
54,Bebe,Stan,53
55,Bebe,Kyle,35
56,Bebe,Cartman,47
57,Bebe,Pip,2
58,Carol,Stuart,37
59,Kyle,Sheila,151
60,Kenny,Sheila,11
61,Gerald,Sheila,124
62,Gerald,Kyle,153
63,Ike,Sheila,30
64,Bebe,Wendy,50
65,Kyle,Randy,169
66,Kyle,Sharon,60
67,Jimbo,Mephesto,1
68,Mephesto,Ned,1
69,Saddam,Scott,4
70,Jimbo,Sharon,12
71,Jimbo,Sheila,19
72,Barbrady,Jimbo,5
73,Liane,Mephesto,3
74,Cartman,Stuart,36
75,Carol,Cartman,21
76,Kenny,Stuart,27
77,Carol,Kenny,17
78,Barbrady,Cartman,12
79,Barbrady,Kyle,7
80,Barbrady,Stan,10
81,Cartman,Gerald,73
82,Liane,Sharon,24
83,Stan,Stuart,27
84,Carol,Stan,15
85,Kyle,Stuart,23
86,Carol,Kyle,18
87,Carol,Sheila,6
88,Gerald,Stuart,32
89,Gerald,Stan,91
90,Gerald,Randy,142
91,Gerald,Sharon,43
92,Liane,Stuart,4
93,Gerald,Liane,10
94,Kenny,Liane,5
95,Carol,Sharon,4
96,Sheila,Stuart,4
97,Liane,Shelly,4
98,Stan,Tweek,74
99,Kyle,Tweek,70
100,Cartman,Tweek,69
101,Kenny,Tweek,4
102,Kenny,Sharon,7
103,Kenny,Randy,25
104,Mephesto,Randy,2
105,Ned,Sheila,2
106,Barbrady,Ned,1
107,Liane,Ned,1
108,Jimbo,Randy,96
109,Ned,Randy,5
110,Stan,Tolkien,106
111,Kyle,Tolkien,101
112,Cartman,Tolkien,131
113,Kenny,Tolkien,15
114,Bebe,Kenny,6
115,Bebe,Tolkien,9
116,Tweek,Wendy,7
117,Jimbo,Tweek,1
118,Ned,Tweek,1
119,Bebe,Gerald,1
120,Gerald,Pip,1
121,Jimmy,Stan,129
122,Jimmy,Kyle,118
123,Cartman,Jimmy,145
124,Jimmy,Kenny,17
125,Gerald,Jimbo,44
126,Butters,Stan,470
127,Butters,Pip,15
128,Butters,Randy,55
129,Butters,Sharon,21
130,Pip,Randy,2
131,Pip,Sharon,1
132,Butters,Gerald,14
133,Barbrady,Butters,3
134,Mackey,Stan,9
135,Mackey,Pip,1
136,Jimbo,Mackey,2
137,Mackey,Ned,1
138,Mackey,Randy,2
139,Gerald,Mackey,1
140,Gerald,Ned,4
141,Butters,Kyle,421
142,Gerald,Kenny,16
143,Ike,Kenny,7
144,Gerald,Ike,23
145,Barbrady,Randy,11
146,Barbrady,Sharon,2
147,Barbrady,Sheila,1
148,Butters,Jimbo,5
149,Butters,Cartman,607
150,Butters,Tolkien,73
151,Jimbo,Tolkien,2
152,Pip,Tolkien,2
153,Randy,Tolkien,9
154,Jimbo,Pip,1
155,Jimbo,Stuart,19
156,Barbrady,Gerald,2
157,Randy,Stuart,52
158,Ned,Stuart,1
159,Stan,Timmy,51
160,Kyle,Timmy,38
161,Cartman,Timmy,47
162,Butters,Kenny,74
163,Kenny,Timmy,13
164,Butters,Timmy,20
165,Kenny,Pip,1
166,Bebe,Butters,34
167,Timmy,Wendy,5
168,Carol,Liane,3
169,Mephesto,Stuart,1
170,Stuart,Timmy,6
171,Carol,Mephesto,1
172,Carol,Timmy,1
173,Mephesto,Timmy,1
174,Timmy,Tolkien,7
175,Butters,Stuart,3
176,Butters,Wendy,61
177,Butters,Sheila,16
178,Randy,Wendy,6
179,Jimbo,Wendy,2
180,Butters,Ike,6
181,Ike,Wendy,1
182,Bebe,Timmy,5
183,Bebe,Randy,2
184,Liane,Timmy,1
185,Heidi,Stan,22
186,Cartman,Heidi,79
187,Butters,Tweek,11
188,Tolkien,Wendy,12
189,Heidi,Timmy,3
190,Jimbo,Timmy,2
191,Bebe,Jimbo,2
192,Cartman,Linda,34
193,Linda,Stan,24
