,source,target,weight
0,Cartman,Kyle,44
1,Cartman,Stan,60
2,Cartman,Jimbo,37
3,Cartman,Liane,3
4,Kyle,Stan,45
5,Jimbo,Kyle,21
6,Kyle,Liane,2
7,Jimbo,Stan,35
8,Liane,Stan,2
9,Jimbo,Liane,4
10,Cartman,Kenny,2
11,Kenny,Stan,1
12,Jimbo,Kenny,3
13,Ned,Stan,8
14,Jimbo,Ned,22
15,Kyle,Ned,7
16,Cartman,Ned,9
17,Johnson,Mayor McDaniels,6
18,Mayor McDaniels,Randy,12
19,Chef,Mayor McDaniels,6
20,Mayor McDaniels,Ted,3
21,Chef,Ted,1
22,Kenny,Ned,4
23,Chef,Officer Barbrady,3
24,Cartman,Mayor McDaniels,1
25,Mayor McDaniels,Mr. Garrison,1
26,Mayor McDaniels,Officer Barbrady,1
27,Jimbo,Mayor McDaniels,3
28,Chef,Mr. Garrison,1
29,Chef,Jimbo,1
30,Mr. Garrison,Officer Barbrady,1
31,Jimbo,Mr. Garrison,1
32,Jimbo,Officer Barbrady,1
33,Liane,Randy,2
34,Liane,Mayor McDaniels,1
35,Mayor McDaniels,Stan,3
36,Kyle,Mayor McDaniels,1
37,Mayor McDaniels,Ned,1
