,source,target,weight
0,Kyle,Wendy,5
1,Kenny,Mr. Garrison,2
2,Kenny,Kyle,3
3,Kenny,Wendy,1
4,Kyle,Mr. Garrison,12
5,Mr. Garrison,Wendy,2
6,Mr. Garrison,Sheila,12
7,Cartman,Sheila,10
8,Cartman,Stan,21
9,Cartman,Mr. Garrison,11
10,Cartman,Kyle,19
11,Mr. Garrison,Stan,7
12,Sheila,Stan,9
13,Kyle,Stan,16
14,Kyle,Sheila,9
15,Kyle,Officer Barbrady,2
16,Officer Barbrady,Stan,1
17,Large woman,Some men,1
18,Crowd,Stan,1
19,Father Maxi,Stan,1
20,Crowd,Sheila,1
21,Father Maxi,Sheila,1
22,Crowd,Mr. Garrison,1
23,Father Maxi,Mr. Garrison,3
24,Cartman,Crowd,1
25,Crowd,Kyle,1
26,Crowd,Father Maxi,1
27,Cartman,Father Maxi,1
28,Father Maxi,Kyle,1
29,Tree hugger,Uncle Jimbo,1
30,Kyle,Mayor McDaniels,1
31,Mayor McDaniels,Sheila,2
32,Cartman,Mayor McDaniels,1
33,Kenny,Mayor McDaniels,1
34,Mayor McDaniels,Stan,1
35,Kenny,Sheila,2
36,Cartman,Kenny,1
37,Kenny,Stan,1
38,Gerald,Kyle,8
39,Ike,Sheila,1
40,Kyle,Mr. Hankey,17
41,Kyle,Mr. Mackey,39
42,Mr. Garrison,Students,1
43,Kyle,Nurse,6
44,His Date,Sheila,1
45,Randy Marsh,Uncle Jimbo,1
46,Cartman,Chef,5
47,Chef,Mr. Garrison,2
48,Father Maxi,Gerald,2
49,Elderly Tree Hugger,Father Maxi,2
50,Gerald,Mr. Garrison,1
51,Elderly Tree Hugger,Mr. Garrison,1
52,Elderly Tree Hugger,Gerald,1
53,Chef,Stan,4
54,Chef,Mr. Hankey,3
55,Cartman,Mr. Hankey,1
56,Mr. Hankey,The Mayor,1
57,Santa Claus,Stan,1
58,Kyle,Santa Claus,1
