,source,target,weight
0,Anthropologist,Stan,4
1,Cartman,Pip,16
2,Cartman,Kyle,53
3,Anthropologist,Kyle,6
4,Anthropologist,Cartman,8
5,Kyle,Quadriplegic Swiss man,4
6,Cartman,Quadriplegic Swiss man,4
7,Dave,Quadriplegic Swiss man,2
8,Dave,Kyle,2
9,Cartman,Dave,2
10,Cartman,Stan,28
11,Chef,Leonard Maltin,92
12,Kenny,Kyle,2
13,Cartman,Kenny,1
14,Kyle,Stan,49
15,Cartman,Officer Barbrady,2
16,Officer Barbrady,Stan,2
17,Cartman,Ike,9
18,Ike,Kyle,6
19,Director,Sidney Poitier,1
20,Princesses,Sidney Poitier,6
21,Leonard Maltin,Stan,1
22,Chef,Robert Smith,8
23,Mr. Garrison,Singer,1
24,Chef,Sidney Poitier,9
25,Chef,Woman,1
26,Chef,Stan,2
27,Cartman,Chef,2
28,Robert Smith,Stan,2
29,Cartman,Robert Smith,4
30,Jesus,Kyle,1
31,Jesus,Stan,1
