,source,target,weight
0,Scott,Terrance,84
1,Phillip,Terrance,130
2,Judge,Phillip,9
3,Judge,Terrance,2
4,Judge,Madame Foreperson,1
5,Phillip,Scott,40
6,Scott,Voice,8
7,Saddam,Scott,25
8,Terrance,Ugly Bob,22
9,Phillip,Ugly Bob,9
10,Barky,Purry,1
11,Barky,Phillip,1
12,Barky,Terrance,1
13,Phillip,Purry,1
14,Purry,Terrance,1
15,Delivery man,Phillip,5
16,Delivery man,Terrance,5
17,Crowd,Phillip,2
18,Crowd,Terrance,2
19,Phillip,Sally,1
20,Saddam,U.S. Army official,16
21,Springer,Terrance,2
22,Phillip,Springer,2
23,Cartman,Terrance,7
24,Saddam,Ugly Bob,9
25,Phlllip,Terrance,1
26,Kyle,Mr. Garrison,117
27,Cartman,Mr. Garrison,96
28,Chef,Mr. Garrison,14
29,Cartman,Chef,91
30,Chef,Kyle,203
31,Kyle,Stan,1224
32,Chef,Stan,153
33,Cartman,Kyle,905
34,Sharon,Sheila,14
35,Greenfield,Mayor McDaniels,27
36,Mayor McDaniels,Officer Barbrady,42
37,Jimbo,Mayor McDaniels,29
38,Cameraman,Mayor McDaniels,5
39,Greenfield,Officer Barbrady,6
40,Greenfield,Jimbo,19
41,Cameraman,Greenfield,5
42,Jimbo,Officer Barbrady,9
43,Cameraman,Officer Barbrady,3
44,Cameraman,Jimbo,9
45,Liane,Receptionist,49
46,Cartman,Stan,872
47,Dr. Doctor,Stan,29
48,Dr. Doctor,Kyle,31
49,Assistant,Greenfield,8
50,Greenfield,Mr. Garrison,14
51,Greenfield,Mr. Hat,4
52,Assistant,Mr. Garrison,5
53,Assistant,Mr. Hat,1
54,Mr. Garrison,Mr. Hat,5
55,Liane,O'Reilly,4
56,Cartman,Dr. Doctor,18
57,Garrison Actor,Mr. Hat Actor,1
58,Eric Roberts as Kevin,Garrison Actor,1
59,Garrison Actor,Greenfield,2
60,Eric Roberts,Garrison Actor,1
61,Eric Roberts as Kevin,Mr. Hat Actor,1
62,Greenfield,Mr. Hat Actor,2
63,Eric Roberts,Mr. Hat Actor,1
64,Eric Roberts as Kevin,Greenfield,2
65,Eric Roberts,Eric Roberts as Kevin,1
66,Eric Roberts,Greenfield,2
67,Cameraman,John Walsh,1
68,Greenfield,John Walsh,1
69,Dr. Doctor,Goodly,2
70,Chef,Dr. Doctor,8
71,Greenfield,Mayor McDaneils,1
72,Mayor McDaneils,Mr. Garrison,1
73,Mayor McDaneils,Mayor McDaniels,1
74,Assistant,Mayor McDaneils,1
75,Mayor McDaneils,Officer Barbrady,1
76,Jimbo,Mayor McDaneils,1
77,Mayor McDaniels,Mr. Garrison,4
78,Mr. Garrison,Officer Barbrady,21
79,Jimbo,Mr. Garrison,13
80,Assistant,Mayor McDaniels,1
81,Assistant,Officer Barbrady,1
82,Assistant,Jimbo,4
83,Barbrady,Jimbo,5
84,Barbrady,Officer Barbrady,2
85,Barbrady,Mr. Garrison,5
86,Cartman,Kenny,103
87,Dr. Doctor,Kenny,34
88,Assistant,Barbrady,1
89,Barbrady,Greenfield,2
90,Kenny,Kyle,95
91,Kenny,Stan,86
92,Clinton,Liane,20
93,Chef,Mephesto,16
94,Dr. Doctor,Mephesto,2
95,Ned,Officer Barbrady,1
96,Officer Barbrady,Singer,1
97,Jimbo,Ned,50
98,Jimbo,Singer,1
99,Mayor McDaniels,Ned,1
100,Mayor McDaniels,Singer,1
101,Ned,Singer,1
102,Mr. Garrison,Ned,1
103,Mr. Garrison,Singer,1
104,Cartman,Mephesto,10
105,Cartman,Liane,156
106,Liane,Mephesto,10
107,Mephesto,Mr. Garrison,10
108,Chef,Liane,4
109,Liane,Mr. Garrison,4
110,Liane,Stan,64
111,Bus Driver,Kenny,6
112,Bus Driver,Cartman,6
113,Bus Driver,Stan,22
114,Bus Driver,Kyle,14
115,Dispatcher,Officer Barbrady,1
116,Officer Barbrady,Stan,76
117,Rancher,Stan,1
118,Cameraman,Stan,3
119,Officer Barbrady,Rancher,12
120,Cameraman,Rancher,1
121,Officer Barbrady,Teller,3
122,Kyle,Officer Barbrady,63
123,Mr. Hat,Officer Barbrady,6
124,Mr. Garrison,Stan,154
125,Cartman,Officer Barbrady,12
126,Mayor McDaniels,Stan,46
127,Kenny,Mayor McDaniels,3
128,Kenny,Officer Barbrady,10
129,Kyle,Mayor McDaniels,41
130,Bus Driver,Officer Barbrady,23
131,Cartman,Randy,23
132,Father Maxi,Stan,2
133,Halfy,Stan,4
134,Father Maxi,Halfy,4
135,Father Maxi,Mr. Garrison,3
136,Father Maxi,Officer Barbrady,2
137,Halfy,Mr. Garrison,2
138,Halfy,Officer Barbrady,3
139,Halfy,Kyle,1
140,Cartman,Driver,9
141,Mr. Hat,Stan,1
142,Kyle,Mr. Hat,2
143,Cartman,Stuart,39
144,Carol,Stuart,35
145,Carol,Cartman,33
146,Barbrady,Cartman,2
147,Barbrady,Bus Driver,2
148,Barbrady,Kyle,1
149,Mr. Mackey,Stan,64
150,Kyle,Mr. Mackey,26
151,Cartman,Mr. Mackey,31
152,Mr. Mackey,Principal Victoria,61
153,Boys,Kyle,26
154,Boys,Chef,27
155,Boys,Stan,21
156,Boys,Cartman,14
157,Bartender,Mr. Mackey,5
158,Angel,Devil,1
159,Landlord,Mr. Mackey,3
160,Landlord,Mr. Freely,3
161,Mr. Freely,Mr. Mackey,10
162,Gerald,Sheila,41
163,Cartman,Sheila,21
164,Kyle,Sheila,121
165,Cartman,Gerald,7
166,Gerald,Kyle,47
167,Hobo,Mr. Mackey,16
168,Clerk,Kyle,74
169,Clerk,Ike,5
170,Ike,Kyle,7
171,Boys,Mr. Mackey,4
172,Jimbo,Mr. Mackey,12
173,Blonde,Mr. Mackey,10
174,Blonde,Jimbo,4
175,Clerk,Sheila,1
176,Barkeep,Ike,1
177,Blonde,Mackey,3
178,Jimbo,Principal Victoria,2
179,Mr. Garrison,Mr. Mackey,2
180,Mr. Garrison,Principal Victoria,2
181,Ike,Sheila,2
182,Ike,Uncle Murray,1
183,Sheila,Uncle Murray,2
184,Guest,Sheila,2
185,Mr. Mackey,Social Worker,12
186,Dr. Schwartz,Kyle,4
187,Dr. Schwartz,Sheila,2
