,source,target,weight
0,Kids,Mr. Garrison,2
1,Pip,Stan,2
2,Kyle,Stan,42
3,Cartman,Stan,33
4,Kyle,Pip,2
5,Cartman,Pip,2
6,Cartman,Kyle,34
7,Boys,Stu,1
8,Boys,Kyle,1
9,Boys,Stan,1
10,Boys,Cartman,1
11,Kyle,Stu,5
12,Stan,Stu,8
13,Cartman,Stu,1
14,Mayor McDaniels,Officer Barbrady,12
15,Jimbo,Stan,16
16,Ned,Stan,6
17,Jimbo,Kyle,9
18,Jimbo,Ned,37
19,Kyle,Ned,3
20,Charlie,Mayor McDaniels,14
21,Mr. Garrison,Stan,7
22,Kyle,Mr. Garrison,5
23,Cartman,Instructor,15
24,Mr. Romero,Stan,1
25,Jimbo,Proprietor,2
26,Ned,Proprietor,2
27,Lamb Chop,Shari,1
28,Guard,Jimbo,12
29,Kyle,Mayor McDaniels,4
30,Mayor McDaniels,Stan,1
31,Cartman,Mayor McDaniels,1
32,Charlie,Kyle,2
33,Dr. Katz,Mr. Garrison,48
34,Mr. Garrison,Mr. Katz,7
35,Dr. Katz,Mr. Katz,6
36,Kyle,Mr. Twig,1
37,Mr. Garrison,Mr. Twig,1
38,Mr. Twig,Stan,1
