,source,target,weight
0,Mr. Garrison,Ms. Stevens,30
1,Cartman,Ms. Stevens,196
2,Kenny,Ms. Stevens,43
3,Kelly,Ms. Stevens,91
4,Kyle,Ms. Stevens,127
5,Ms. Stevens,Stan,134
6,Cartman,Mr. Garrison,20
7,Kenny,Mr. Garrison,5
8,Kelly,Mr. Garrison,5
9,Kyle,Mr. Garrison,5
10,Mr. Garrison,Stan,5
11,Cartman,Kenny,30
12,Cartman,Kelly,48
13,Cartman,Kyle,77
14,Cartman,Stan,99
15,Kelly,Kenny,65
16,Kenny,Kyle,12
17,Kenny,Stan,16
18,Kelly,Kyle,46
19,Kelly,Stan,49
20,Kyle,Stan,85
21,Craig,Mr. Mackey,27
22,Kyle,Mr. Mackey,27
23,Cartman,Mr. Mackey,18
24,Mr. Mackey,Stan,27
25,Kenny,Mr. Mackey,9
26,Craig,Kyle,9
27,Cartman,Craig,6
28,Craig,Stan,9
29,Craig,Kenny,3
30,Ms. Stevens,Sheila,4
31,Ms. Stevens,Sharon,4
32,Cartman,Sheila,4
33,Sheila,Stan,2
34,Sharon,Sheila,1
35,Kenny,Sheila,3
36,Kelly,Sheila,3
37,Cartman,Sharon,4
38,Sharon,Stan,2
39,Kenny,Sharon,3
40,Kelly,Sharon,3
41,Mr. Mackey,Ms. Stevens,15
42,Kids,Ms. Stevens,16
43,Kids,Kyle,8
44,Kids,Stan,8
45,Cartman,Kids,9
46,Kelly,Kids,1
47,A Boy,Ms. Stevens,2
48,A Boy,Kelly,2
49,A Boy,Stan,2
