,source,target,weight
0,Kenny,Kyle,35
1,Kyle,Manager,21
2,Kyle,Stan,165
3,Cartman,Kyle,120
4,Kyle,Officer Barbrady,7
5,Blond man,Kyle,7
6,Kenny,Manager,15
7,Kenny,Stan,21
8,Cartman,Kenny,16
9,Kenny,Officer Barbrady,5
10,Blond man,Kenny,5
11,Manager,Stan,12
12,Cartman,Manager,9
13,Manager,Officer Barbrady,3
14,Blond man,Manager,3
15,Cartman,Stan,86
16,Officer Barbrady,Stan,4
17,Blond man,Stan,4
18,Cartman,Officer Barbrady,7
19,Blond man,Cartman,3
20,Blond man,Officer Barbrady,1
21,Mayor McDaniels,Randy,35
22,Kyle,Priest Maxi,68
23,Kyle,Mr. Garrison,8
24,Mr. Garrison,Priest Maxi,11
25,Priest Maxi,Stan,38
26,Mr. Garrison,Stan,5
27,Helen,Jerry,3
28,Jerry,Tom,3
29,Helen,Tom,1
30,Randy,Stan,136
31,Kyle,Randy,35
32,Kenny,Randy,4
33,Kenny,Townsman,2
34,Randy,Townsman,11
35,Cartman,Randy,4
36,Stan,Townsman,3
37,Cartman,Townsman,2
38,A few people,Priest Maxi,1
39,A few people,Crowd,2
40,A few people,Stan,3
41,A few people,Kyle,2
42,A few people,Cartman,4
43,A few people,Someone,1
44,Crowd,Priest Maxi,3
45,Cartman,Priest Maxi,7
46,Priest Maxi,Someone,1
47,Crowd,Stan,9
48,Crowd,Kyle,5
49,Cartman,Crowd,11
50,Crowd,Someone,2
51,Someone,Stan,3
52,Kyle,Someone,2
53,Cartman,Someone,4
54,Crowd,Randy,3
55,Mayor McDaniels,Townsman,1
56,Crowd,Townsman,1
57,Kyle,Townsman,1
58,Crowd,Mayor McDaniels,1
59,Mayor McDaniels,Stan,3
60,Kyle,Mayor McDaniels,3
61,Kyle,Mr. Mackey,24
62,Mr. Mackey,Stan,24
63,Liane,Mr. Mackey,20
64,Kyle,Liane,30
65,Liane,Stan,30
66,Mephesto,Whoopi,2
67,Randy,Whoopi,1
68,Mephesto,Randy,4
69,Gerald,Sheila,20
70,Kyle,Sheila,10
71,Gerald,Kyle,10
72,Cartman,Chef,15
73,Jesus,Stan,9
74,Mephesto,Stan,3
75,Jesus,Randy,6
76,Jesus,Mephesto,3
77,Mr. Garrison,Randy,4
78,Mayor McDaniels,Mr. Garrison,1
79,Randy,Tom,1
80,Blonde,Bob Dole,3
81,Bob Dole,Gerald,2
82,Bob Dole,Brunette,1
83,Blonde,Gerald,6
84,Blonde,Brunette,3
85,Brunette,Gerald,2
