,source,target,weight
0,Cartman,Liane,20
1,Doctor's assistant,Liane,2
2,Cartman,Doctor's assistant,3
3,Cartman,Doctor Lout,178
4,Kenny,Stan,26
5,Kyle,Stan,162
6,Cartman,Stan,120
7,Kenny,Kyle,17
8,Cartman,Kenny,16
9,Cartman,Kyle,77
10,Cartman,Mr. Derp,14
11,Mr. Derp,Stan,21
12,Mr. Derp,The Boys,7
13,Kyle,Mr. Derp,7
14,Cartman,The Boys,2
15,Stan,The Boys,3
16,Kyle,The Boys,1
17,Chef,Stan,137
18,Chef,Kyle,107
19,Boys,Chef,12
20,Chef,Veronica,63
21,Cartman,Chef,50
22,Boys,Stan,6
23,Stan,Veronica,83
24,Boys,Kyle,4
25,Kyle,Veronica,48
26,Boys,Veronica,3
27,Boys,Cartman,1
28,Cartman,Veronica,49
29,Receptionist,Stan,12
30,Kyle,Receptionist,4
31,Kenny,Receptionist,4
32,Cartman,Receptionist,8
33,Chef,Kids,16
34,Kids,Stan,6
35,Kids,Kyle,6
36,Cartman,Kids,4
37,Kyle,Mr. Garrison,43
38,Kyle,Mr. Hat,5
39,Mr. Garrison,Stan,37
40,Mr. Garrison,Mr. Hat,8
41,Mr. Hat,Stan,4
42,Liane,Stan,9
43,Chef's dad,Stan,11
44,Chef's dad,Kyle,8
45,Chef's mom,Stan,21
46,Stan,Thomas,45
47,Chef's mom,Kyle,14
48,Chef's dad,Chef's mom,21
49,Chef's mom,Thomas,42
50,Kyle,Thomas,24
51,Chef's dad,Thomas,18
52,Nellie,Thomas,89
53,Nellie,Stan,29
54,Liane,Veronica,6
55,Kyle,Liane,2
56,Chef,Nellie,15
57,Chef,Thomas,12
58,Thomas,Veronica,6
59,Kyle,Nellie,14
60,Cartman,Thomas,16
61,Cartman,Nellie,20
62,Priest Maxi,Stan,15
63,Stan,Women,5
64,Kyle,Priest Maxi,12
65,Kyle,Women,4
66,Cartman,Priest Maxi,9
67,Cartman,Women,3
68,Chef,Priest Maxi,12
69,Nellie,Priest Maxi,6
70,Priest Maxi,Veronica,15
71,Priest Maxi,Women,3
72,Priest Maxi,Thomas,3
73,Chef,Women,4
74,Nellie,Veronica,10
75,Nellie,Women,2
76,Veronica,Women,5
77,Thomas,Women,1
78,Cartman,Mr. Garrison,6
79,Kenny,Nellie,2
80,Kenny,Thomas,1
81,Kenny,Mr. Garrison,2
82,Chef,Kenny,2
83,Mr. Garrison,Nellie,4
84,Mr. Garrison,Thomas,2
85,Chef,Mr. Garrison,7
