,source,target,weight
0,DJ,Stan,3
1,Cartman,Kyle,99
2,Kyle,Stan,154
3,Cartman,Stan,138
4,Cartman,Guests in line,6
5,Guests in line,Kyle,1
6,Guests in line,Guide,1
7,Dr. Spookalot,Guests in line,3
8,Cartman,Guide,6
9,Cartman,Dr. Spookalot,18
10,Guide,Kyle,1
11,Dr. Spookalot,Kyle,3
12,Dr. Spookalot,Guide,3
13,Boy in green shirt,Kyle,24
14,Kenny,Kyle,21
15,Kyle,Pirate Ghost cutout,4
16,Boy in green shirt,Stan,18
17,Boy in green shirt,Kenny,6
18,Boy in green shirt,Pirate Ghost cutout,6
19,Boy in green shirt,Cartman,6
20,Kenny,Stan,21
21,Pirate Ghost cutout,Stan,3
22,Kenny,Pirate Ghost cutout,1
23,Cartman,Kenny,16
24,Cartman,Pirate Ghost cutout,1
25,DJ,Priest Maxi,4
26,Cartman,Pirate Ghosts,5
27,Kyle,Pirate Ghosts,1
28,Pirate Ghosts,Stan,5
29,David,Head,23
30,David,Fieldy,20
31,David,Jonathan,72
32,David,Munky,27
33,David,Pirates,3
34,Fieldy,Head,11
35,Head,Jonathan,46
36,Head,Munky,14
37,Head,Pirates,1
38,Fieldy,Jonathan,43
39,Fieldy,Munky,12
40,Fieldy,Pirates,1
41,Jonathan,Munky,46
42,Jonathan,Pirates,3
43,Munky,Pirates,1
44,All,Head,1
45,All,Fieldy,5
46,All,Jonathan,6
47,Cartman,Liane,24
48,Liane,Stan,8
49,Kyle,Liane,4
50,A voice,Kyle,4
51,A voice,Cartman,2
52,A voice,Stan,2
53,Male voice,Stan,16
54,Stan,The Boys,9
55,Munky,Stan,15
56,Jonathan,Stan,73
57,Nibblet,Stan,22
58,KoRn,Stan,22
59,Head,Stan,16
60,Priest Maxi,Stan,16
61,Kyle,Male voice,8
62,Kyle,The Boys,8
63,Kyle,Munky,16
64,Jonathan,Kyle,61
65,Kyle,Nibblet,9
66,KoRn,Kyle,10
67,Head,Kyle,12
68,Kyle,Priest Maxi,6
69,Cartman,Male voice,4
70,Cartman,The Boys,2
71,Cartman,Munky,12
72,Cartman,Jonathan,25
73,Cartman,Nibblet,8
74,Cartman,KoRn,8
75,Cartman,Head,8
76,Cartman,Priest Maxi,6
77,Male voice,The Boys,2
78,Male voice,Munky,2
79,Jonathan,Male voice,10
80,Male voice,Nibblet,4
81,KoRn,Male voice,4
82,Head,Male voice,2
83,Male voice,Priest Maxi,2
84,Munky,The Boys,4
85,Jonathan,The Boys,13
86,Nibblet,The Boys,2
87,KoRn,The Boys,2
88,Head,The Boys,3
89,Priest Maxi,The Boys,1
90,Munky,Nibblet,6
91,KoRn,Munky,6
92,Munky,Priest Maxi,5
93,Jonathan,Nibblet,27
94,Jonathan,KoRn,26
95,Jonathan,Priest Maxi,25
96,KoRn,Nibblet,8
97,Head,Nibblet,8
98,Nibblet,Priest Maxi,8
99,Head,KoRn,8
100,KoRn,Priest Maxi,6
101,Head,Priest Maxi,7
102,Brunet,Sheila,111
103,Blond,Brunet,66
104,Blond,Sheila,60
105,Brunet,Crowd,6
106,Brunet,Man,4
107,Barbrady,Brunet,6
108,Brunet,Pirate voice,2
109,Brunet,Pirate Ghost 2,2
110,Brunet,Captain Bly,2
111,Brunet,Priest Maxi,6
112,Crowd,Man,6
113,Barbrady,Crowd,9
114,Crowd,Pirate voice,2
115,Crowd,Pirate Ghost 2,2
116,Captain Bly,Crowd,2
117,Crowd,Priest Maxi,6
118,Barbrady,Man,6
119,Man,Pirate voice,1
120,Man,Pirate Ghost 2,1
