,source,target,weight
0,Cartman,Kitty,14
1,Announcer,Cartman,58
2,Cartman,Singer,28
3,Cartman,Japanese Woman,7
4,Announcer,Kitty,10
5,Kitty,Singer,4
6,Japanese Woman,Kitty,2
7,Announcer,Singer,70
8,Announcer,Japanese Woman,5
9,Japanese Woman,Singer,2
10,Cartman,Liane,30
11,Boy,Girl,2
12,Boy,Louis,2
13,Boy,Cartman,20
14,Boy,Stan,8
15,Boy,Kenny,10
16,Girl,Louis,1
17,Cartman,Girl,8
18,Girl,Stan,2
19,Girl,Kenny,5
20,Cartman,Louis,8
21,Louis,Stan,2
22,Kenny,Louis,5
23,Cartman,Stan,191
24,Cartman,Kenny,52
25,Kenny,Stan,19
26,Cashier,Liane,1
27,Japanese woman,Liane,2
28,Kids,Liane,2
29,Cashier,Japanese woman,3
30,Cashier,Kids,1
31,Japanese woman,Kids,1
32,Kenny,Kyle,12
33,Cartman,Kyle,169
34,Kyle,Stan,189
35,Kyle,Sheila,25
36,Gerald,Kyle,24
37,Ike,Kyle,12
38,Gerald,Sheila,13
39,Ike,Sheila,6
40,Gerald,Ike,8
41,Cashier,Kyle,3
42,A voice,Kyle,1
43,Kyle,Lambtron,1
44,A voice,Cashier,3
45,Cashier,Lambtron,3
46,A voice,Lambtron,1
47,Cartman,Japanese woman,6
48,Announcer,Kyle,13
49,Japanese woman,Kyle,6
50,Announcer,Stan,22
51,Japanese woman,Stan,4
52,Announcer,Japanese woman,2
53,Announcer,Kenny,1
54,Japanese woman,Kenny,2
55,Japanese woman,Red,16
56,Japanese woman,Taller man,2
57,Japanese woman,Mr. Ose,14
58,Japanese woman,President Hirohito,16
59,Japanese woman,Lambtor,2
60,Japanese woman,Woman 1,2
61,Japanese woman,Woman 2,2
62,Cashier,Red,8
63,Cashier,Taller man,1
64,Cashier,Mr. Ose,7
65,Cashier,President Hirohito,8
66,Cashier,Lambtor,1
67,Cashier,Woman 1,1
68,Cashier,Woman 2,1
69,Red,Taller man,8
70,Mr. Ose,Red,56
71,President Hirohito,Red,64
72,Lambtor,Red,8
73,Red,Woman 1,8
74,Red,Woman 2,8
75,Mr. Ose,Taller man,7
76,President Hirohito,Taller man,8
77,Lambtor,Taller man,1
78,Taller man,Woman 1,1
79,Taller man,Woman 2,1
80,Mr. Ose,President Hirohito,102
81,Lambtor,Mr. Ose,7
82,Mr. Ose,Woman 1,7
83,Mr. Ose,Woman 2,7
84,Lambtor,President Hirohito,8
85,President Hirohito,Woman 1,8
86,President Hirohito,Woman 2,8
87,Lambtor,Woman 1,1
88,Lambtor,Woman 2,1
89,Woman 1,Woman 2,1
90,Roostor,Sharon,3
91,Narrator,Sharon,3
92,Japanese woman,Singer,2
93,Sharon,Singer,4
94,Liane,Singer,2
95,Sheila,Singer,6
96,Japanese woman,Sharon,2
97,Japanese woman,Sheila,3
98,Liane,Sharon,5
99,Sharon,Sheila,22
100,Liane,Sheila,5
101,Kids,Stan,32
102,Singer,Stan,14
103,Mr. Ose,Stan,35
104,Emperor Hirohito,Stan,4
