,source,target,weight
0,Hollis,Marvin,19
1,Ethiopians,Marvin,8
2,Ethiopian,Marvin,5
3,Chief,Marvin,5
4,Ethiopians,Hollis,4
5,Ethiopian,Hollis,2
6,Chief,Hollis,2
7,Ethiopian,Ethiopians,1
8,Chief,Ethiopians,1
9,Chief,Ethiopian,1
10,Mr. Garrison,Sphinx,2
11,Cartman,Sphinx,58
12,Kyle,Sphinx,37
13,Connelly,Sphinx,69
14,Kenny,Sphinx,9
15,Cartman,Mr. Garrison,2
16,Kyle,Mr. Garrison,2
17,Connelly,Mr. Garrison,2
18,Kenny,Mr. Garrison,2
19,Cartman,Kyle,111
20,Cartman,Connelly,79
21,Cartman,Kenny,12
22,Connelly,Kyle,45
23,Kenny,Kyle,14
24,Connelly,Kenny,13
25,Kyle,Stan,107
26,Cartman,Stan,102
27,Sphinx,Stan,33
28,Connelly,Stan,44
29,Crowd,Marvin,6
30,Crowd,Mayor,10
31,Marvin,Mayor,15
32,Stan,The Boys,4
33,Connelly,The Boys,8
34,Cartman,The Boys,8
35,Kyle,The Boys,4
36,Sphinx,The Boys,4
37,Connelly,Sally,44
38,Sally,Sphinx,24
39,Cartman,Pat,5
40,Boys,Cartman,12
41,Cartman,Marvin,39
42,Cartman,Singer,14
43,Kyle,Pat,7
44,Kenny,Pat,1
45,Boys,Pat,1
46,Marvin,Pat,4
47,Pat,Stan,5
48,Pat,Singer,2
49,Boys,Kyle,20
50,Kyle,Marvin,66
51,Kyle,Singer,26
52,Boys,Kenny,1
53,Kenny,Marvin,6
54,Kenny,Stan,11
55,Kenny,Singer,2
56,Boys,Marvin,12
57,Boys,Stan,14
58,Boys,Singer,4
59,Marvin,Stan,50
60,Marvin,Singer,12
61,Singer,Stan,16
62,Connelly,Hollis,12
63,Hollis,Sphinx,11
64,Marvin,Sphinx,12
65,Connelly,Marvin,11
66,Hollis,Stan,11
67,Hollis,Kyle,21
68,Cartman,Hollis,16
69,Pat,Susan,4
70,FBI agent,Sphinx,3
71,Connelly,FBI agent,5
72,FBI agent,Kyle,3
73,FBI agent,Marvin,1
74,FBI agent,Stan,3
75,Cartman,FBI agent,3
76,FBI agent,Kenny,2
77,Ethiopians,Kyle,6
78,Kyle,The boys,6
79,Marvin,The boys,2
80,Boys,Hollis,2
81,Hollis,Singer,2
82,Hollis,The boys,1
83,Boys,Ethiopians,1
84,Boys,The boys,1
85,Ethiopians,Stan,3
86,Cartman,Ethiopians,3
87,Ethiopians,Singer,2
88,Ethiopians,The boys,1
89,Stan,The boys,3
90,Cartman,The boys,2
91,Singer,The boys,2
92,Kenny,Sally,4
93,Cartman,Crew,1
94,Crew,Ethiopians,1
95,Crew,Marvin,1
96,Crew,Hollis,1
97,Computer,Stan,2
98,Sally,Stan,12
99,Computer,Kyle,3
100,Kyle,Sally,18
101,Computer,Sally,6
102,Computer,Connelly,1
103,Computer,Hollis,2
104,Cartman,Computer,5
105,Computer,Sphinx,1
106,Hollis,Sally,12
107,Cartman,Sally,30
