,source,target,weight
0,Class,Mr. Garrison,11
1,Cartman,Class,3
2,Class,Kyle,1
3,Class,Mr. Mackey,10
4,Class,Stan,1
5,Cartman,Mr. Garrison,41
6,Kyle,Mr. Garrison,18
7,Mr. Garrison,Mr. Mackey,119
8,Mr. Garrison,Stan,16
9,Cartman,Kyle,91
10,Cartman,Mr. Mackey,93
11,Cartman,Stan,80
12,Kyle,Mr. Mackey,53
13,Kyle,Stan,63
14,Mr. Mackey,Stan,40
15,Cartman,Kenny,32
16,Kenny,Kyle,22
17,Kenny,Stan,16
18,Kenny,Mr. Garrison,3
19,Kenny,Mr. Mackey,26
20,Kenny,Mr. Hat,15
21,Kenny,Students,3
22,Kenny,Ms. Crabtree,3
23,Cartman,Mr. Hat,35
24,Cartman,Students,7
25,Cartman,Ms. Crabtree,7
26,Kyle,Mr. Hat,20
27,Kyle,Students,4
28,Kyle,Ms. Crabtree,4
29,Mr. Hat,Stan,15
30,Stan,Students,3
31,Ms. Crabtree,Stan,3
32,Mr. Garrison,Mr. Hat,5
33,Mr. Garrison,Students,1
34,Mr. Garrison,Ms. Crabtree,1
35,Mr. Hat,Mr. Mackey,40
36,Mr. Mackey,Students,8
37,Mr. Mackey,Ms. Crabtree,8
38,Mr. Hat,Students,5
39,Mr. Hat,Ms. Crabtree,5
40,Ms. Crabtree,Students,1
41,Coordinator,Mr. Mackey,8
42,Coordinator,New York kid 1,28
43,Coordinator,New York kid 2,4
44,Coordinator,Kyle,17
45,Coordinator,Stan,13
46,Cartman,Coordinator,17
47,Coordinator,Kenny,5
48,Black kid,Coordinator,4
49,Mr. Mackey,New York kid 1,14
50,Mr. Mackey,New York kid 2,2
51,Black kid,Mr. Mackey,2
52,New York kid 1,New York kid 2,7
53,Kyle,New York kid 1,28
54,New York kid 1,Stan,14
55,Cartman,New York kid 1,21
56,Kenny,New York kid 1,7
57,Black kid,New York kid 1,7
58,Kyle,New York kid 2,4
59,New York kid 2,Stan,2
60,Cartman,New York kid 2,3
61,Kenny,New York kid 2,1
62,Black kid,New York kid 2,1
63,Black kid,Kyle,4
64,Black kid,Stan,2
65,Black kid,Cartman,3
66,Black kid,Kenny,1
67,Mr. Garrison,Mr. Garrison Sr.,139
68,Mr. Garrison,Mrs. Garrison Sr.,65
69,Mr. Garrison Sr.,Mrs. Garrison Sr.,20
70,Coordinator,Yoko Ono,1
71,Cartman,Yoko Ono,2
72,Kenny,Yoko Ono,1
73,Kyle,Yoko Ono,4
74,Stan,Yoko Ono,3
75,Mr. Garrison Sr.,Mr. Mackey,72
76,Mr. Garrison,Reporter,6
77,Mr. Garrison Sr.,Reporter,6
78,Delivery man,Kyle,5
79,Cartman,Delivery man,7
80,Delivery man,Stan,4
81,Delivery man,Kenny,1
82,Mr. Garrison Sr.,Patron 1,72
83,Mr. Garrison Sr.,Patron 2,64
84,Mr. Garrison Sr.,Patron 3,56
85,Blond,Mr. Garrison Sr.,24
86,Mr. Garrison Sr.,Patron 4,8
87,Mr. Garrison Sr.,Patron 5,8
88,Mr. Garrison Sr.,Patrons,16
89,Mr. Garrison Sr.,Patron 6,8
90,Mr. Garrison Sr.,Patron 7,8
91,Mr. Garrison Sr.,Patron 8,16
92,Mr. Garrison Sr.,Patron 9,8
93,Bartender,Mr. Garrison Sr.,16
94,Mr. Garrison Sr.,Patron 10,8
95,Patron 1,Patron 2,72
96,Patron 1,Patron 3,63
97,Blond,Patron 1,27
98,Patron 1,Patron 4,9
99,Patron 1,Patron 5,9
100,Patron 1,Patrons,18
101,Patron 1,Patron 6,9
102,Patron 1,Patron 7,9
103,Patron 1,Patron 8,18
104,Patron 1,Patron 9,9
105,Bartender,Patron 1,18
106,Patron 1,Patron 10,9
107,Patron 2,Patron 3,56
108,Blond,Patron 2,24
