,source,target,weight
0,Cartman,Liane,73
1,Kyle,Stan,154
2,Cartman,Stan,223
3,Kenny,Stan,45
4,Cartman,Kyle,170
5,Kenny,Kyle,63
6,Cartman,Kenny,43
7,Kyle,Timmy,56
8,Butters,Kyle,39
9,Kenny,Timmy,40
10,Cartman,Timmy,24
11,Butters,Timmy,40
12,Stan,Timmy,32
13,Butters,Kenny,25
14,Butters,Cartman,39
15,Butters,Stan,28
16,Dr. Roberts,Liane,25
17,Gerald,Kyle,42
18,Blond,Stan,18
19,Rich kid,Stan,18
20,Blond,Cartman,10
21,Cartman,Rich kid,10
22,Blond,Kyle,2
23,Kyle,Rich kid,2
24,Blond,Rich kid,4
25,Loogie,Stan,103
26,Stan,The South Park boys,8
27,Beat-up boy,Stan,8
28,Cartman,Loogie,62
29,Cartman,The South Park boys,4
30,Beat-up boy,Cartman,4
31,Loogie,The South Park boys,10
32,Beat-up boy,Loogie,10
33,Kyle,Loogie,28
34,Beat-up boy,The South Park boys,1
35,Kyle,The South Park boys,1
36,Beat-up boy,Kyle,1
37,Dentist,Dr. Roberts,6
38,Dentist,Mr. Foley,5
39,Dr. Roberts,Mr. Foley,30
40,Chef,The Boys,27
41,Chef,Stan,54
42,Cartman,Chef,18
43,Chef,Kyle,9
44,Stan,The Boys,18
45,Cartman,The Boys,6
46,Kyle,The Boys,3
47,Loogie,Mr. Foley,31
48,Cartman,Weasel,10
49,Kyle,Weasel,2
50,Kenny,Loogie,2
51,Billy,Dan Akawa,30
52,Dan Akawa,Mr. Circlovich,6
53,Dan Akawa,Mr. Foley,6
54,Cameraman,Dan Akawa,6
55,Billy,Mr. Circlovich,8
56,Billy,Mr. Foley,21
57,Billy,Cameraman,5
58,Mr. Circlovich,Mr. Foley,6
59,Cameraman,Mr. Circlovich,1
60,Cameraman,Mr. Foley,1
61,Billy,Dentists,1
62,Billy,Murphy,4
63,Dentists,Mr. Foley,1
64,Mr. Foley,Murphy,6
65,Dentists,Murphy,1
66,Cartman,Mr. Foley,17
67,Kyle,Mr. Foley,12
68,Mr. Foley,Stan,13
69,A voice,Mr. Foley,5
70,Billy,Cartman,9
71,Billy,Kyle,6
72,Billy,Stan,6
73,Billy,Loogie,12
74,A voice,Billy,3
75,Cartman,Mr. Circlovich,3
76,Kyle,Mr. Circlovich,2
77,Mr. Circlovich,Stan,2
78,Mr. Circlovich,Murphy,1
79,Loogie,Mr. Circlovich,4
80,A voice,Mr. Circlovich,1
81,Cartman,Murphy,3
82,A voice,Cartman,3
83,Kyle,Murphy,2
84,A voice,Kyle,2
85,Murphy,Stan,2
86,A voice,Stan,2
87,Loogie,Murphy,4
88,A voice,Murphy,1
89,A voice,Loogie,4
