,source,target,weight
0,Kyle,Stan,77
1,Kyle,Mr. Garrison,28
2,Cartman,Kyle,46
3,Kyle,Wendy,2
4,Kyle,Timmy,30
5,Mr. Garrison,Stan,42
6,Cartman,Stan,58
7,Stan,Wendy,3
8,Stan,Timmy,46
9,Cartman,Mr. Garrison,54
10,Mr. Garrison,Wendy,12
11,Mr. Garrison,Timmy,78
12,Cartman,Wendy,4
13,Cartman,Timmy,34
14,Timmy,Wendy,6
15,Mr. Mackey,Timmy,40
16,Principal Victoria,Timmy,34
17,Mr. Mackey,Principal Victoria,24
18,Clinic doctor,Principal Victoria,12
19,Clinic doctor,Mr. Mackey,12
20,Clinic doctor,Timmy,30
21,Kenny,Timmy,2
22,Other classmates,Timmy,2
23,Fosse,Timmy,2
24,Kenny,Mr. Garrison,3
25,Mr. Garrison,Other classmates,3
26,Fosse,Mr. Garrison,3
27,Kenny,Stan,16
28,Other classmates,Stan,2
29,Fosse,Stan,2
30,Kenny,Kyle,13
31,Kyle,Other classmates,1
32,Fosse,Kyle,1
33,Cartman,Kenny,9
34,Cartman,Other classmates,1
35,Cartman,Fosse,1
36,Kenny,Other classmates,1
37,Fosse,Kenny,1
38,Fosse,Other classmates,1
39,Cartman,Clinic doctor,22
40,Jonesy,Skyler,57
41,Mark,Skyler,32
42,Skyler,Timmy,89
43,Jonesy,Mark,16
44,Jonesy,Timmy,35
45,Mark,Timmy,17
46,Carol,Pharmacist,4
47,Carol,Sharon,2
48,Carol,Sheila,2
49,Carol,Kyle,1
50,Carol,Liane,4
51,Carol,Cartman,1
52,Pharmacist,Sharon,8
53,Pharmacist,Sheila,8
54,Kyle,Pharmacist,24
55,Liane,Pharmacist,16
56,Cartman,Pharmacist,19
57,Sharon,Sheila,4
58,Kyle,Sharon,5
59,Liane,Sharon,8
60,Cartman,Sharon,3
61,Kyle,Sheila,2
62,Liane,Sheila,8
63,Cartman,Sheila,2
64,Kyle,Liane,4
65,Cartman,Liane,4
66,Guy in flat top,People in Audience,1
67,M.C.,People in Audience,4
68,People in Audience,Singer,1
69,People in Audience,Skyler,3
70,People in Audience,Timmy,8
71,People in Audience,The Lords,3
72,People in Audience,Stan,3
73,Kyle,People in Audience,2
74,Cartman,People in Audience,1
75,Crowd,People in Audience,2
76,Jonesy,People in Audience,1
77,Guy in flat top,M.C.,4
78,Guy in flat top,Singer,1
79,Guy in flat top,Skyler,3
80,Guy in flat top,Timmy,8
81,Guy in flat top,The Lords,3
82,Guy in flat top,Stan,3
83,Guy in flat top,Kyle,2
84,Cartman,Guy in flat top,1
85,Crowd,Guy in flat top,2
86,Guy in flat top,Jonesy,1
87,M.C.,Singer,4
88,M.C.,Skyler,12
89,M.C.,Timmy,32
90,M.C.,The Lords,12
91,M.C.,Stan,12
92,Kyle,M.C.,8
93,Cartman,M.C.,4
94,Crowd,M.C.,8
95,Jonesy,M.C.,4
96,Singer,Skyler,3
97,Singer,Timmy,8
98,Singer,The Lords,3
99,Singer,Stan,3
100,Kyle,Singer,2
101,Cartman,Singer,1
102,Crowd,Singer,2
103,Jonesy,Singer,1
104,Skyler,The Lords,13
105,Skyler,Stan,9
106,Kyle,Skyler,6
107,Cartman,Skyler,3
108,Crowd,Skyler,6
109,The Lords,Timmy,28
110,Crowd,Timmy,16
111,Stan,The Lords,9
112,Kyle,The Lords,6
113,Cartman,The Lords,3
114,Crowd,The Lords,6
115,Jonesy,The Lords,5
116,Crowd,Stan,6
117,Jonesy,Stan,3
118,Crowd,Kyle,4
119,Jonesy,Kyle,2
120,Cartman,Crowd,2
121,Cartman,Jonesy,1
122,Crowd,Jonesy,2
123,Chef,Kenny,18
124,Christina Aguilera monster,Kenny,3
125,Chef,Stan,116
126,Chef,Kyle,104
127,Cartman,Chef,62
128,Chef,Christina Aguilera monster,20
129,Christina Aguilera monster,Stan,10
130,Christina Aguilera monster,Kyle,9
131,Cartman,Christina Aguilera monster,8
132,Announcer,Kurt Loder,4
133,Kurt Loder,Phil Collins,8
134,Kurt Loder,Richard,8
135,Helen,Kurt Loder,4
136,Announcer,Phil Collins,2
137,Announcer,Richard,2
138,Announcer,Helen,1
139,Phil Collins,Richard,4
140,Helen,Phil Collins,2
141,Helen,Richard,2
142,Christina Aguilera monster,Mr. Garrison,1
143,Jonesy,Phil Collins,7
144,Phil Collins,Timmy,9
145,Phil Collins,Skyler,42
146,Phillip,Terrance,1
147,Stan,Terrance,5
148,Kyle,Terrance,4
149,Announcer,Terrance,1
150,Terrance,The Boys,1
151,Anchor,Terrance,2
152,Cartman,Terrance,2
153,Phillip,Stan,5
154,Kyle,Phillip,4
155,Announcer,Phillip,1
156,Phillip,The Boys,1
157,Anchor,Phillip,2
158,Cartman,Phillip,2
159,Announcer,Stan,5
160,Stan,The Boys,5
161,Anchor,Stan,10
162,Announcer,Kyle,4
163,Kyle,The Boys,4
164,Anchor,Kyle,8
165,Announcer,The Boys,1
166,Anchor,Announcer,2
167,Announcer,Cartman,2
168,Anchor,The Boys,2
169,Cartman,The Boys,2
170,Anchor,Cartman,4
171,Chef,Randy,22
172,Dr. Shay,Randy,4
173,Girl,Randy,1
174,Randy,Sharon,1
175,Gerald,Randy,2
176,Parents,Randy,2
177,Randy,Stan,7
178,Kyle,Randy,7
179,Cartman,Randy,4
180,Chef,Dr. Shay,32
181,Chef,Girl,8
182,Chef,Sharon,8
183,Chef,Gerald,22
184,Chef,Parents,16
185,Dr. Shay,Girl,4
186,Dr. Shay,Sharon,4
187,Dr. Shay,Gerald,4
188,Dr. Shay,Parents,8
189,Dr. Shay,Stan,4
190,Dr. Shay,Kyle,12
191,Cartman,Dr. Shay,4
192,Girl,Sharon,1
193,Gerald,Girl,1
194,Girl,Parents,2
195,Girl,Stan,1
196,Girl,Kyle,3
197,Cartman,Girl,1
198,Gerald,Sharon,1
199,Parents,Sharon,2
200,Sharon,Stan,1
201,Gerald,Parents,2
202,Gerald,Stan,7
203,Gerald,Kyle,7
204,Cartman,Gerald,4
205,Parents,Stan,2
206,Kyle,Parents,6
207,Cartman,Parents,2
208,Chef,Clinic doctor,98
209,Clinic doctor,Pharmacist,35
210,Clinic doctor,Phil Collins,42
211,Clinic doctor,Randy,7
212,Clinic doctor,Stan,42
213,Clinic doctor,Gerald,7
214,Christina Aguilera monster,Clinic doctor,7
215,Clinic doctor,Kyle,28
216,Audience,Clinic doctor,14
217,Chef,Pharmacist,70
218,Chef,Phil Collins,84
219,Audience,Chef,28
220,Pharmacist,Phil Collins,30
221,Pharmacist,Randy,5
222,Pharmacist,Stan,30
223,Gerald,Pharmacist,5
224,Christina Aguilera monster,Pharmacist,5
225,Audience,Pharmacist,10
226,Phil Collins,Randy,6
227,Phil Collins,Stan,36
228,Gerald,Phil Collins,6
229,Cartman,Phil Collins,18
230,Christina Aguilera monster,Phil Collins,6
231,Kyle,Phil Collins,24
232,Audience,Phil Collins,12
233,Christina Aguilera monster,Randy,1
234,Audience,Randy,2
235,Audience,Stan,12
236,Christina Aguilera monster,Gerald,1
237,Audience,Gerald,2
238,Audience,Cartman,6
239,Audience,Christina Aguilera monster,2
240,Audience,Kyle,8
241,Mark,The Lords,3
242,Phil Collins,The Lords,1
