,source,target,weight
0,Kyle,Stan,77
1,Kyle,Mr. Garrison,28
2,Cartman,Kyle,46
3,Kyle,Wendy,2
4,Kyle,Timmy,30
5,Mr. Garrison,Stan,42
6,Cartman,Stan,58
7,Stan,Wendy,3
8,Stan,Timmy,46
9,Cartman,Mr. Garrison,54
10,Mr. Garrison,Wendy,12
11,Mr. Garrison,Timmy,78
12,Cartman,Wendy,4
13,Cartman,Timmy,34
14,Timmy,Wendy,6
15,Mr. Mackey,Timmy,40
16,Principal Victoria,Timmy,34
17,Mr. Mackey,Principal Victoria,24
18,Kenny,Timmy,2
19,Fosse,Timmy,2
20,Kenny,Mr. Garrison,3
21,Fosse,Mr. Garrison,3
22,Kenny,Stan,16
23,Fosse,Stan,2
24,Kenny,Kyle,13
25,Fosse,Kyle,1
26,Cartman,Kenny,9
27,Cartman,Fosse,1
28,Fosse,Kenny,1
29,Mark,Timmy,17
30,Carol,Sharon,2
31,Carol,Sheila,2
32,Carol,Kyle,1
33,Carol,Liane,4
34,Carol,Cartman,1
35,Sharon,Sheila,4
36,Kyle,Sharon,5
37,Liane,Sharon,8
38,Cartman,Sharon,3
39,Kyle,Sheila,2
40,Liane,Sheila,8
41,Cartman,Sheila,2
42,Kyle,Liane,4
43,Cartman,Liane,4
44,People in Audience,Singer,1
45,People in Audience,Timmy,8
46,People in Audience,Stan,3
47,Kyle,People in Audience,2
48,Cartman,People in Audience,1
49,Crowd,People in Audience,2
50,Singer,Timmy,8
51,Singer,Stan,3
52,Kyle,Singer,2
53,Cartman,Singer,1
54,Crowd,Singer,2
55,Crowd,Timmy,16
56,Crowd,Stan,6
57,Crowd,Kyle,4
58,Cartman,Crowd,2
59,Chef,Kenny,18
60,Chef,Stan,116
61,Chef,Kyle,104
62,Cartman,Chef,62
63,Announcer,Phil Collins,2
64,Announcer,Richard,2
65,Phil Collins,Richard,4
66,Phil Collins,Timmy,9
67,Phillip,Terrance,1
68,Stan,Terrance,5
69,Kyle,Terrance,4
70,Announcer,Terrance,1
71,Terrance,The Boys,1
72,Anchor,Terrance,2
73,Cartman,Terrance,2
74,Phillip,Stan,5
75,Kyle,Phillip,4
76,Announcer,Phillip,1
77,Phillip,The Boys,1
78,Anchor,Phillip,2
79,Cartman,Phillip,2
80,Announcer,Stan,5
81,Stan,The Boys,5
82,Anchor,Stan,10
83,Announcer,Kyle,4
84,Kyle,The Boys,4
85,Anchor,Kyle,8
86,Announcer,The Boys,1
87,Anchor,Announcer,2
88,Announcer,Cartman,2
89,Anchor,The Boys,2
90,Cartman,The Boys,2
91,Anchor,Cartman,4
92,Chef,Randy,22
93,Girl,Randy,1
94,Randy,Sharon,1
95,Gerald,Randy,2
96,Randy,Stan,7
97,Kyle,Randy,7
98,Cartman,Randy,4
99,Chef,Girl,8
100,Chef,Sharon,8
101,Chef,Gerald,22
102,Girl,Sharon,1
103,Gerald,Girl,1
104,Girl,Stan,1
105,Girl,Kyle,3
106,Cartman,Girl,1
107,Gerald,Sharon,1
108,Sharon,Stan,1
109,Gerald,Stan,7
110,Gerald,Kyle,7
111,Cartman,Gerald,4
112,Chef,Phil Collins,84
113,Audience,Chef,28
114,Phil Collins,Randy,6
115,Phil Collins,Stan,36
116,Gerald,Phil Collins,6
117,Cartman,Phil Collins,18
118,Kyle,Phil Collins,24
119,Audience,Phil Collins,12
120,Audience,Randy,2
121,Audience,Stan,12
122,Audience,Gerald,2
123,Audience,Cartman,6
124,Audience,Kyle,8
