,source,target,weight
0,Cartman,Mr. Wyland,49
1,Cartman,Stan,238
2,Cartman,Kenny,72
3,Cartman,Wendy,7
4,Butters,Cartman,11
5,Mr. Wyland,Stan,42
6,Kenny,Mr. Wyland,7
7,Mr. Wyland,Wendy,7
8,Butters,Mr. Wyland,7
9,Kenny,Stan,68
10,Stan,Wendy,6
11,Butters,Stan,30
12,Kenny,Wendy,1
13,Butters,Kenny,4
14,Butters,Wendy,1
15,Chairman,Mr. Garrison,28
16,Mr. Garrison,Principal Victoria,7
17,Chairman,Principal Victoria,4
18,Sharon,Stan,55
19,Sharon,Sheila,54
20,Butters,Sharon,10
21,Kyle,Sharon,5
22,Sheila,Stan,42
23,Kyle,Stan,15
24,Butters,Sheila,10
25,Kyle,Sheila,5
26,Butters,Kyle,2
27,Mr. Garrison,Mr. Mackey,36
28,Dr. Doctor,Stan,36
29,Cartman,Liane,48
30,Cartman,Kyle,16
31,Kenny,Liane,12
32,Kenny,Kyle,4
33,Liane,Stan,33
34,Kyle,Liane,3
35,Stan,Timmy,16
36,Kenny,Timmy,4
37,Butters,Timmy,5
38,Cartman,Timmy,3
39,Gerald,Sheila,2
40,Gerald,Sharon,2
41,Cartman,Dr. Doctor,9
