,source,target,weight
0,Jimbo,Mayor,26
1,Chef,Jimbo,67
2,Chef,Mayor,36
3,Class,Mr. Wyland,4
4,Cartman,Class,8
5,Class,Kyle,4
6,Class,Stan,2
7,Class,Craig,2
8,Cartman,Mr. Wyland,8
9,Kyle,Mr. Wyland,19
10,Mr. Wyland,Stan,5
11,Craig,Mr. Wyland,2
12,Cartman,Kyle,8
13,Cartman,Stan,4
14,Cartman,Craig,4
15,Kyle,Stan,43
16,Craig,Kyle,2
17,Craig,Stan,1
18,Ned,Stan,1
19,Kyle,Ned,1
20,Jimbo,Ned,15
21,Jimbo,Stan,2
22,Jimbo,Kyle,14
23,Chef,Randy,7
24,Randy,Wendy,1
25,Mr. Mackey,Randy,4
26,Principal Victoria,Randy,4
27,Chef,Wendy,29
28,Chef,Mr. Mackey,28
29,Chef,Principal Victoria,28
30,Mr. Mackey,Wendy,4
31,Principal Victoria,Wendy,4
32,Mr. Mackey,Principal Victoria,16
33,Mr. Wyland,Wendy,13
34,Stan,Wendy,3
35,Kyle,Wendy,15
36,Chef,Stan,20
37,Chef,Kyle,71
38,Cartman,Wendy,166
39,Butters,Cartman,8
40,Cartman,Clyde,8
41,Butters,Wendy,5
42,Clyde,Wendy,5
43,Butters,Clyde,1
44,Chef,Reporter,16
45,Chef,Monk,4
46,Chef,The KKK,16
47,Chef,KKK Leader,12
48,Chef,Ned,4
49,Chef,Sheila,4
50,Chef,Mr. Garrison,18
51,Jimbo,Reporter,11
52,Jimbo,Monk,3
53,Jimbo,The KKK,13
54,Jimbo,KKK Leader,40
55,Jimbo,Sheila,3
56,Jimbo,Mr. Garrison,12
57,Mayor,Reporter,6
58,Mayor,Monk,2
59,Mayor,The KKK,6
60,KKK Leader,Mayor,4
61,Mayor,Ned,2
62,Mayor,Sheila,2
63,Mayor,Mr. Garrison,6
64,Monk,Reporter,3
65,Reporter,The KKK,13
66,KKK Leader,Reporter,10
67,Ned,Reporter,3
68,Reporter,Sheila,3
69,Mr. Garrison,Reporter,15
70,Monk,The KKK,3
71,KKK Leader,Monk,2
72,Monk,Ned,1
73,Monk,Sheila,1
74,Monk,Mr. Garrison,3
75,KKK Leader,The KKK,14
76,Ned,The KKK,5
77,Sheila,The KKK,3
78,Mr. Garrison,The KKK,15
79,KKK Leader,Ned,14
80,KKK Leader,Sheila,2
81,KKK Leader,Mr. Garrison,12
82,Ned,Sheila,1
83,Mr. Garrison,Ned,3
84,Mr. Garrison,Sheila,3
85,Chef,Johnson,1
86,Assistant,Chef,1
87,Johnson,Mayor,2
88,Assistant,Mayor,2
89,Assistant,Johnson,1
90,Kenny,Stan,20
91,Gerald,Stan,15
92,Kenny,Kyle,28
93,Gerald,Kyle,21
94,Gerald,Kenny,12
95,KKK Leader,Officer Barbrady,2
96,Officer Barbrady,The KKK,2
97,Mr. Garrison,Officer Barbrady,3
98,Chef,Officer Barbrady,2
99,Officer Barbrady,Reporter,2
100,Jimbo,Officer Barbrady,1
101,Brother Anderson,Jimbo,2
102,Jimbo,KKK Members,50
103,Jimbo,Ticket 2974 Holder,2
104,Brother Anderson,Ned,2
105,KKK Members,Ned,10
106,Ned,Ticket 2974 Holder,2
107,Brother Anderson,The KKK,1
