,source,target,weight
0,Cartman,Kyle,223
1,Kyle,Stan,74
2,Kenny,Kyle,25
3,Cartman,Stan,181
4,Cartman,Kenny,57
5,Kenny,Stan,20
6,Sharon,Stan,8
7,Randy,Stan,132
8,Shelly,Stan,4
9,Randy,Sharon,12
10,Sharon,Shelly,5
11,Randy,Shelly,5
12,Butters,Cartman,30
13,Butters,Kyle,10
14,Butters,Stan,10
15,Butters,Ike,6
16,Butters,Kenny,2
17,Butters,Wendy,2
18,Cartman,Ike,45
19,Cartman,Wendy,24
20,Ike,Kyle,15
21,Kyle,Wendy,10
22,Ike,Stan,15
23,Stan,Wendy,7
24,Ike,Kenny,3
25,Ike,Wendy,3
26,Kenny,Wendy,2
27,Cartman,Manager,255
28,Cartman,Chef,56
29,Bebe,Cartman,26
30,Bebe,Timmy,9
31,Bebe,Kyle,3
32,Bebe,Girls,9
33,Cartman,Timmy,46
34,Cartman,Girls,24
35,Kyle,Timmy,3
36,Girls,Timmy,9
37,Girls,Kyle,3
38,Cartman,Randy,6
39,Bebe,Randy,3
40,Bebe,Stan,2
41,Cartman,Mr. Mackey,22
42,Cartman,Liane,11
43,Manager,Timmy,14
44,Manager,Mr. Mackey,14
45,Liane,Manager,7
46,Mr. Mackey,Timmy,4
47,Liane,Timmy,2
48,Liane,Mr. Mackey,2
49,Kyle,Manager,24
50,Kenny,Manager,6
51,Manager,Wendy,4
52,Manager,Stan,8
