,source,target,weight
0,Butters,Stan,3
1,Cartman,Stan,46
2,Liane,Principal Victoria,2
3,Principal Victoria,Stan,4
4,Kids,Principal Victoria,4
5,Principal Victoria,Sharon,2
6,Kyle,Principal Victoria,2
7,Cartman,Principal Victoria,4
8,Liane,Stan,6
9,Kids,Liane,2
10,Liane,Sharon,1
11,Kyle,Liane,1
12,Cartman,Liane,12
13,Kids,Stan,5
14,Sharon,Stan,2
15,Kyle,Stan,20
16,Kids,Sharon,2
17,Kids,Kyle,11
18,Cartman,Kids,76
19,Kyle,Sharon,1
20,Cartman,Sharon,2
21,Cartman,Kyle,79
22,Saddam,Satan,114
23,Attendant,Driver,12
24,Attendant,Kenny,12
25,Driver,Kenny,9
26,Gerald,Stan,1
27,Sheila,Stan,2
28,Gerald,Kyle,2
29,Kyle,Sheila,4
30,Gerald,Sheila,2
31,Cartman,Gerald,1
32,Cartman,Sheila,2
33,Cartman,Kenny,6
34,Kenny,Stan,4
35,Kenny,Kyle,2
36,Chris,Satan,145
37,Chris,Saddam,71
38,Father,Kids,16
39,Heidi,Kids,4
40,Kids,Mother,8
41,Cartman,Father,24
42,Cartman,Heidi,6
43,Cartman,Mother,12
44,Father,Heidi,4
45,Father,Mother,8
46,Heidi,Mother,2
47,Soldier,Speaker,1
48,Crowd,Speaker,3
49,Satan,Speaker,5
50,Chris,Speaker,3
51,Crowd,Soldier,3
52,Satan,Soldier,5
53,Chris,Soldier,3
54,Crowd,Satan,15
55,Chris,Crowd,9
56,Liane,Sister Anne,5
57,Cartman,Sister Anne,42
58,Crowd,Kyle,4
59,Butters,Kyle,6
60,Kyle,Timmy,28
61,Cartman,Crowd,12
62,Butters,Cartman,24
63,Cartman,Timmy,84
64,Butters,Crowd,1
65,Crowd,Timmy,7
66,Crowd,Kids,2
67,Butters,Timmy,7
68,Butters,Kids,4
69,Kids,Timmy,14
70,Boy,Cartman,24
71,Boy,Kids,10
72,God,Satan,58
73,Kids,Sister Anne,2
74,Butters,Sister Anne,4
75,Jesus,Sister Anne,8
76,Bebe,Sister Anne,2
77,Girls,Sister Anne,2
78,Boy,Sister Anne,2
79,Kyle,Sister Anne,2
80,Sister Anne,Stan,2
81,Cartman,Jesus,24
82,Bebe,Cartman,6
83,Cartman,Girls,6
84,Jesus,Kids,4
85,Bebe,Kids,1
86,Girls,Kids,1
87,Butters,Jesus,8
88,Bebe,Butters,2
89,Butters,Girls,2
90,Boy,Butters,2
91,Bebe,Jesus,4
92,Girls,Jesus,4
93,Boy,Jesus,4
94,Jesus,Kyle,4
95,Jesus,Stan,4
96,Bebe,Girls,1
97,Bebe,Boy,1
98,Bebe,Kyle,1
99,Bebe,Stan,1
100,Boy,Girls,1
101,Girls,Kyle,1
102,Girls,Stan,1
103,Boy,Kyle,1
104,Boy,Stan,1
105,Rick,Saddam,6
106,Rick,Satan,5
