,source,target,weight
0,5th-Grader in middle,Kyle,14
1,Kyle,Stan,140
2,Kyle,Pete,21
3,Cartman,Kyle,119
4,Clyde,Kyle,14
5,Butters,Kyle,32
6,Kyle,Timmy,20
7,5th-Grader in middle,Stan,18
8,5th-Grader in middle,Pete,6
9,5th-Grader in middle,Cartman,8
10,5th-Grader in middle,Clyde,4
11,5th-Grader in middle,Butters,4
12,5th-Grader in middle,Timmy,2
13,Pete,Stan,27
14,Cartman,Stan,133
15,Clyde,Stan,18
16,Butters,Stan,32
17,Stan,Timmy,34
18,Cartman,Pete,12
19,Clyde,Pete,6
20,Butters,Pete,6
21,Pete,Timmy,3
22,Cartman,Clyde,8
23,Butters,Cartman,25
24,Cartman,Timmy,31
25,Butters,Clyde,4
26,Clyde,Timmy,2
27,Butters,Timmy,2
28,Butters,New Teacher,2
29,Butters,Kenny,1
30,Butters,Ms. Choksondik,5
31,Cartman,New Teacher,10
32,Cartman,Kenny,5
33,Cartman,Ms. Choksondik,119
34,New Teacher,Stan,4
35,Kenny,Stan,6
36,Ms. Choksondik,Stan,68
37,Kyle,New Teacher,4
38,Kenny,New Teacher,2
39,Ms. Choksondik,New Teacher,10
40,Kenny,Kyle,2
41,Kyle,Ms. Choksondik,52
42,Kenny,Ms. Choksondik,5
43,Kyle,Tweek,7
44,Cartman,Tweek,5
45,Stan,Tweek,4
46,Butters,Tweek,2
47,Chef,Mr. Mackey,13
48,Chef,Ms. Choksondik,35
49,Chef,Principal Victoria,22
50,Chef,The Adults,3
51,Mr. Mackey,Ms. Choksondik,35
52,Mr. Mackey,Principal Victoria,22
53,Mr. Mackey,The Adults,3
54,Ms. Choksondik,Principal Victoria,63
55,Ms. Choksondik,The Adults,7
56,Principal Victoria,The Adults,4
57,Stan,Wendy,3
58,Kids,Wendy,2
59,Kyle,Wendy,3
60,Ms. Choksondik,Wendy,6
61,Cartman,Wendy,5
62,Timmy,Wendy,2
63,Kids,Stan,6
64,Kids,Kyle,6
65,Kids,Ms. Choksondik,12
66,Cartman,Kids,10
67,Kids,Timmy,4
68,Ms. Choksondik,Timmy,28
69,Stan,The Nerds,3
70,Kyle,The Nerds,2
71,Pilot,SWAT Hansen,1
72,Brunette,SWAT Hansen,6
73,SWAT Hansen,Timmy,2
74,Hansen,SWAT Hansen,4
75,Brunette,Pilot,14
76,Pilot,Timmy,10
77,Hansen,Pilot,14
78,Brunette,Timmy,28
79,Brunette,Hansen,44
80,Hansen,Timmy,28
81,Mr. Garrison,Ms. Choksondik,85
82,Mr. Garrison,Principal Victoria,5
83,Chef,Mr. Garrison,2
84,Mr. Garrison,Mr. Mackey,2
85,Field Reporter,Timmy,2
86,Brunette,Kenny,8
87,Brunette,Stan,8
88,Hansen,Kenny,10
89,Hansen,Stan,10
90,Kenny,Timmy,8
91,Kenny,Pilot,4
92,Pilot,Stan,4
93,Clean Garrison,Ms. Choksondik,4
94,Ms. Choksondik,Unkempt Garrison,2
95,Clean Garrison,Mr. Garrison,4
96,Mr. Garrison,Unkempt Garrison,2
97,Clean Garrison,Unkempt Garrison,83
