,source,target,weight
0,Kyle,Stan,118
1,Ike,Kyle,14
2,Cartman,Kyle,127
3,Ike,Stan,6
4,Cartman,Stan,133
5,Cartman,Ike,6
6,Ms. Crabtree,Stan,3
7,Kyle,Ms. Crabtree,3
8,Bill,Ms. Crabtree,3
9,Cartman,Ms. Crabtree,4
10,Bill,Stan,30
11,Bill,Kyle,20
12,Bill,Cartman,54
13,Ike,Mr. Garrison,23
14,Filmore,Ike,7
15,Ike,Sally,4
16,Filmore,Mr. Garrison,70
17,Mr. Garrison,Sally,35
18,Filmore,Sally,21
19,Cartman,Trapper Keeper,22
20,Kids,Trapper Keeper,2
21,Bill,Trapper Keeper,2
22,Kyle,Trapper Keeper,15
23,Cartman,Kids,5
24,Bill,Kids,1
25,Kids,Kyle,3
26,Jenny,Mr. Garrison,5
27,Ike,Jenny,2
28,Filmore,Jenny,1
29,Bil,Bill,12
30,Bil,Cartman,28
31,Bil,Stan,8
32,Bil,Kyle,4
33,Flora,Mr. Garrison,19
34,Flora,Sally,8
35,Filmore,Flora,6
36,Flora,Two kids,4
37,Flora,Other kids,4
38,Flora,Other Kids,4
39,Flora,Girl,4
40,Mr. Garrison,Two kids,3
41,Mr. Garrison,Other kids,3
42,Mr. Garrison,Other Kids,3
43,Girl,Mr. Garrison,3
44,Sally,Two kids,2
45,Other kids,Sally,2
46,Other Kids,Sally,2
47,Girl,Sally,2
48,Filmore,Two kids,1
49,Filmore,Other kids,1
50,Filmore,Other Kids,1
51,Filmore,Girl,1
52,Other kids,Two kids,1
53,Other Kids,Two kids,1
54,Girl,Two kids,1
55,Other Kids,Other kids,1
56,Girl,Other kids,1
57,Girl,Other Kids,1
58,Barbrady,Cartman,16
59,Barbrady,Bill,13
60,Barbrady,Kyle,5
61,BSM-471,Bill,6
62,BSM-471,Cartman,78
63,Barbrady,Stan,15
64,BSM-471,Stan,115
65,BSM-471,Barbrady,6
66,BSM-471,Kyle,70
67,Mr. Garrison,Supporters,26
68,Fillmore,Mr. Garrison,7
69,Flora,Supporters,3
70,Fillmore,Flora,1
71,Filmore,Supporters,10
72,Fillmore,Supporters,3
73,Fillmore,Filmore,2
74,Sally,Supporters,3
75,BSM-471,Liane,8
76,Liane,Stan,8
77,Kyle,Liane,4
78,Stan,Trapper Keeper,17
79,Kenny,Stan,5
80,Cartman,Kenny,3
81,Kenny,Trapper Keeper,2
82,Kenny,Kyle,4
83,Mark,Stan,4
84,Mark,Trapper Keeper,1
85,BSM-471,Mark,3
86,Kyle,Mark,1
87,BSM-471,Trapper Keeper,4
88,Cops,Mark,1
89,BSM-471,Cops,1
90,Cops,Stan,1
91,Rosie,Stan,2
92,Rosie,Trapper Keeper,2
93,BSM-471,Rosie,1
94,Jesse Jackson,Mr. Garrison,15
95,Filmore,Jesse Jackson,9
96,Jesse Jackson,Sally,6
97,Ike,Jesse Jackson,3
98,Jesse Jackson,Kids,3
99,Kids,Mr. Garrison,5
100,Filmore,Kids,3
101,Kids,Sally,2
102,Ike,Kids,1
