,source,target,weight
0,Class,Ms. Choksondik,3
1,Class,Wendy,1
2,Butters,Class,1
3,Class,Stan,2
4,Class,Kyle,2
5,Class,Kenny,2
6,Ms. Choksondik,Wendy,3
7,Butters,Ms. Choksondik,3
8,Ms. Choksondik,Stan,9
9,Kyle,Ms. Choksondik,10
10,Kenny,Ms. Choksondik,7
11,Butters,Wendy,1
12,Stan,Wendy,2
13,Kyle,Wendy,2
14,Kenny,Wendy,2
15,Butters,Stan,14
16,Butters,Kyle,20
17,Butters,Kenny,6
18,Kyle,Stan,85
19,Kenny,Stan,23
20,Kenny,Kyle,22
21,Phillip,Terrance,9
22,Cartman,Terrance,12
23,Liane,Terrance,6
24,Cartman,Phillip,12
25,Liane,Phillip,6
26,Cartman,Liane,31
27,Liane,Mr. Mackey,14
28,Dr. Doctor,Liane,6
29,Liane,Mr. Garrison,10
30,Cartman,Mr. Mackey,12
31,Dr. Doctor,Mr. Mackey,4
32,Mr. Garrison,Mr. Mackey,6
33,Cartman,Dr. Doctor,10
34,Cartman,Mr. Garrison,11
35,Dr. Doctor,Mr. Garrison,4
36,Ms. Choksondik,Principal Victoria,1
37,Kyle,Principal Victoria,7
38,Principal Victoria,Stan,5
39,Kenny,Principal Victoria,1
40,Bebe,Kyle,1
41,Bebe,Stan,1
42,Bebe,Ms. Choksondik,1
43,Liane,Male Counselor,4
44,Cartman,Male Counselor,4
45,Male Counselor,Rick,4
46,Liane,Rick,4
47,Cartman,Rick,44
48,Cartman,Taller Boy,8
49,Cartman,Pink Monster,6
50,Rick,Taller Boy,27
51,Pink Monster,Taller Boy,12
52,Pink Monster,Rick,18
53,Kids,Stan,4
54,Clyde,Stan,4
55,Stan,Tolkien,4
56,Kids,Kyle,6
57,Clyde,Kyle,6
58,Kyle,Tolkien,6
59,Kenny,Kids,2
60,Butters,Kids,2
61,Clyde,Kids,1
62,Kids,Tolkien,1
63,Clyde,Kenny,2
64,Kenny,Tolkien,2
65,Butters,Clyde,2
66,Butters,Tolkien,2
67,Clyde,Tolkien,1
68,Cartman,Susan,26
69,Brunet Boy,Cartman,8
70,Blonde Girl,Cartman,8
71,Brunet Boy,Susan,2
72,Blonde Girl,Susan,4
73,Blonde Girl,Brunet Boy,2
74,Cartman,Driver,9
75,Boy 1,Driver,3
76,Boy 1,Cartman,3
77,Susan,Taller Boy,2
78,Eric,Taller Boy,1
79,Rick,Susan,40
80,Eric,Rick,3
81,Eric,Susan,2
82,Mr. Garrison,Stan,3
83,Kyle,Mr. Garrison,4
84,Mr. Garrison,Principal Victoria,1
85,Liane,Stan,12
86,Kyle,Liane,16
87,Liane,Principal Victoria,4
88,Mr. Mackey,Stan,6
89,Kyle,Mr. Mackey,8
90,Mr. Mackey,Principal Victoria,2
91,Cartman,Stan,3
92,Cartman,Kyle,4
93,Cartman,Principal Victoria,1
94,Jesus,Kenny,6
95,Jesus,Man 1,6
96,Jesus,Man 2,6
97,Jesus,Man 3,6
98,Jesus,Stan,12
99,Jesus,Kyle,12
100,Jesus,Man 4,6
101,Jesus,Man 5,6
102,Jesus,Man 6,6
103,Kenny,Man 1,2
104,Kenny,Man 2,2
105,Kenny,Man 3,1
