,source,target,weight
0,Ike,Stan,2
1,Ike,Kyle,3
2,Cartman,Ike,1
3,Kyle,Stan,86
4,Cartman,Stan,55
5,Cartman,Kyle,94
6,Kyle,Sheila,32
7,Gerald,Sheila,17
8,Gerald,Kyle,24
9,Kenny,Stan,4
10,Cartman,Kenny,10
11,Kenny,Kyle,10
12,Cartman,Kids,1
13,Butters,Craig,16
14,Linda,Mark,168
15,Jenny,Linda,14
16,Kindergartners,Linda,27
17,Kindergartner,Linda,7
18,Craig,Linda,21
19,Jenny,Mark,18
20,Kindergartners,Mark,33
21,Kindergartner,Mark,9
22,Craig,Mark,27
23,Jenny,Kindergartners,6
24,Jenny,Kindergartner,2
25,Craig,Jenny,6
26,Kindergartner,Kindergartners,3
27,Craig,Kindergartners,9
28,Craig,Kindergartner,3
29,Cartman,Linda,46
30,Francis,Linda,2
31,Cartman,Mark,79
32,Cartman,Francis,6
33,Francis,Mark,4
34,Kids,Stan,117
35,Kids,Kyle,27
36,Kids,Mark,45
37,Kids,Linda,27
38,Boy,Kids,18
39,Mark,Stan,102
40,Linda,Stan,59
41,Boy,Stan,26
42,Kyle,Mark,43
43,Kyle,Linda,24
44,Boy,Kyle,6
45,Boy,Mark,10
46,Boy,Linda,6
47,Gerald,Speaker,4
48,Gerald,Randy,4
49,Carol,Gerald,4
50,Sheila,Speaker,1
51,Randy,Sheila,1
52,Carol,Sheila,1
53,Randy,Speaker,1
54,Carol,Speaker,1
55,Carol,Randy,1
56,Butters,Linda,22
57,Butters,Cartman,27
58,Butters,Mark,36
59,Butters,Stan,16
60,Butters,Kyle,12
