,source,target,weight
0,Cartman,Stan,163
1,Cartman,Kyle,236
2,Cartman,Kenny,22
3,Kyle,Stan,87
4,Kenny,Stan,8
5,Kenny,Kyle,13
6,Another boy,Scott,5
7,Another boy,Cartman,4
8,Cartman,Scott,500
9,Kyle,Rick,9
10,Cartman,Rick,18
11,Rick,Stan,3
12,Kenny,Rick,3
13,Cartman,Teen boy,10
14,Clyde,Kids,1
15,Clyde,Kyle,2
16,Cartman,Clyde,5
17,Butters,Clyde,1
18,Clyde,Stan,1
19,Clyde,Timmy,2
20,Kids,Kyle,2
21,Cartman,Kids,5
22,Butters,Kids,1
23,Kids,Stan,1
24,Kids,Timmy,2
25,Butters,Kyle,2
26,Kyle,Timmy,4
27,Butters,Cartman,5
28,Cartman,Timmy,10
29,Butters,Stan,1
30,Butters,Timmy,2
31,Stan,Timmy,2
32,Cartman,Jimbo,113
33,Cartman,Ned,35
34,Cartman,Mr. Tenorman,21
35,A man,Cartman,7
36,Jimbo,Ned,55
37,Jimbo,Mr. Tenorman,33
38,A man,Jimbo,11
39,Mr. Tenorman,Ned,15
40,A man,Ned,5
41,A man,Mr. Tenorman,3
42,Cartman,Kurt Loder,12
43,Kurt Loder,Scott,2
44,Kurt Loder,Stan,2
45,Scott,Stan,7
46,Ed,Phil,1
47,Phil,Thom,1
48,Ed,Thom,1
49,Kyle,Scott,31
50,Mrs. Tenorman,Scott,12
51,Mr. Tenorman,Mrs. Tenorman,8
52,Mr. Tenorman,Scott,6
53,Chef,Stan,8
54,Cartman,Chef,40
55,Chef,Kyle,8
56,Chef,Scott,12
