,source,target,weight
0,Kenny,Stan,30
1,Kyle,Stan,271
2,Cartman,Stan,188
3,Sharon,Stan,59
4,Kenny,Kyle,28
5,Cartman,Kenny,24
6,Kenny,Sharon,7
7,Cartman,Kyle,148
8,Kyle,Sharon,40
9,Cartman,Sharon,54
10,Kyle,Towelie,150
11,Boys,Kyle,18
12,Stan,Towelie,207
13,Boys,Stan,21
14,Cartman,Towelie,120
15,Boys,Cartman,14
16,Kenny,Towelie,17
17,Boys,Kenny,3
18,Sharon,Towelie,3
19,Boys,Towelie,18
20,Boys,Sharon,4
21,Randy,Stan,1
22,Cartman,Randy,1
23,Randy,Sharon,1
24,Commander,Kyle,77
25,Commander,Stan,124
26,Cartman,Commander,54
27,Stan,Voice,10
28,Kyle,Voice,6
29,Cartman,Voice,4
30,Official,Stan,54
31,Guard,Stan,28
32,Soldier,Stan,17
33,Official,Towelie,18
34,Guard,Towelie,8
35,Commander,Towelie,65
36,Soldier,Towelie,7
37,Kyle,Official,12
38,Guard,Official,12
39,Commander,Official,24
40,Official,Soldier,6
41,Guard,Kyle,12
42,Kyle,Soldier,8
43,Commander,Guard,8
44,Guard,Soldier,2
45,Commander,Soldier,22
46,Mr. Garrison,Soldier,6
47,Cartman,Soldier,2
48,Boys,Commander,7
49,Commander,Kenny,14
