,source,target,weight
0,Cartman,Kyle,133
1,Butters,Kyle,50
2,Kyle,Stan,47
3,Butters,Cartman,122
4,Cartman,Stan,65
5,Butters,Stan,18
6,Butters,Linda,7
7,Cartman,Clyde,4
8,Cartman,Jimmy,37
9,Cartman,Tweek,11
10,Cartman,Towelie,10
11,Jimmy,Kyle,31
12,Jimmy,Tweek,4
13,Jimmy,Towelie,5
14,Jimmy,Stan,19
15,Kyle,Tweek,14
16,Kyle,Towelie,10
17,Towelie,Tweek,2
18,Stan,Tweek,3
19,Stan,Towelie,2
20,Kyle,Timmy,9
21,Dougie,Kyle,3
22,Timmy,Tweek,3
23,Cartman,Timmy,6
24,Dougie,Timmy,1
25,Stan,Timmy,2
26,Dougie,Tweek,2
27,Cartman,Dougie,2
28,Dougie,Stan,1
29,Butters,Stephen,1
30,Cartman,Ms. Choksondik,48
31,Butters,Ms. Choksondik,108
32,Cartman,Craig,2
33,Craig,Stan,1
34,Pip,Tweek,2
35,Kyle,Pip,12
36,Pip,Tolkien,2
37,Pip,Timmy,2
38,Pip,Towelie,2
39,Cartman,Pip,12
40,Jimmy,Pip,2
41,Clyde,Pip,2
42,Tolkien,Tweek,1
43,Clyde,Tweek,1
44,Kyle,Tolkien,9
45,Clyde,Kyle,5
46,Timmy,Tolkien,1
47,Tolkien,Towelie,3
48,Cartman,Tolkien,9
49,Jimmy,Tolkien,3
50,Clyde,Tolkien,1
51,Timmy,Towelie,1
52,Jimmy,Timmy,1
53,Clyde,Timmy,1
54,Clyde,Towelie,1
55,Clyde,Jimmy,1
56,Butters,Dougie,49
57,Stan,Tolkien,2
58,Pip,Stan,2
59,Butters,Pip,4
