,source,target,weight
0,Mr. Garrison,Principal Victoria,111
1,Kyle,Mr. Mackey,6
2,Kids,Kyle,3
3,Kyle,Mr. Garrison,39
4,Butters,Kyle,6
5,Kyle,Mr. Slave,15
6,Cartman,Kyle,27
7,Kyle,Stan,37
8,Kids,Mr. Mackey,2
9,Mr. Garrison,Mr. Mackey,26
10,Butters,Mr. Mackey,4
11,Mr. Mackey,Mr. Slave,10
12,Cartman,Mr. Mackey,8
13,Mr. Mackey,Stan,4
14,Kids,Mr. Garrison,13
15,Butters,Kids,1
16,Kids,Mr. Slave,5
17,Cartman,Kids,4
18,Kids,Stan,1
19,Butters,Mr. Garrison,22
20,Mr. Garrison,Mr. Slave,125
21,Cartman,Mr. Garrison,52
22,Mr. Garrison,Stan,16
23,Butters,Mr. Slave,11
24,Butters,Cartman,11
25,Butters,Stan,13
26,Cartman,Mr. Slave,20
27,Mr. Slave,Stan,7
28,Cartman,Stan,19
29,Linda,Randy,6
30,Gerald,Linda,2
31,Kyle,Linda,6
32,Linda,Sheila,8
33,Linda,Sharon,2
34,Linda,Stan,6
35,Linda,Stephen,2
36,Gerald,Randy,6
37,Kyle,Randy,13
38,Randy,Sheila,13
39,Randy,Sharon,6
40,Randy,Stan,16
41,Randy,Stephen,7
42,Gerald,Kyle,3
43,Gerald,Sheila,4
44,Gerald,Sharon,3
45,Gerald,Stan,4
46,Gerald,Stephen,3
47,Kyle,Sheila,12
48,Kyle,Sharon,3
49,Kyle,Stephen,3
50,Sharon,Sheila,5
51,Sheila,Stan,14
52,Sheila,Stephen,6
53,Sharon,Stan,6
54,Sharon,Stephen,5
55,Stan,Stephen,9
56,Cartman,Voice,7
57,Cartman,Randy,28
58,Cartman,Janitor,14
59,Randy,Voice,4
60,Butters,Voice,1
61,Janitor,Voice,2
62,Kyle,Voice,1
63,Stan,Voice,1
64,Butters,Randy,6
65,Janitor,Randy,8
66,Butters,Janitor,2
67,Janitor,Kyle,2
68,Janitor,Stan,2
69,Randy,Richard,1
70,Randy,The boys,1
71,Richard,Stan,1
72,Stan,The boys,5
73,Gerald,Richard,1
74,Gerald,The boys,1
75,Richard,Sharon,1
76,Sharon,The boys,1
77,Richard,Stephen,2
78,Stephen,The boys,2
79,Richard,The boys,1
80,Chef,The boys,9
81,Kyle,The boys,4
82,Cartman,The boys,2
83,Chef,Kyle,36
84,Chef,Stan,36
85,Cartman,Chef,18
86,Mr. Slave,Principal Victoria,3
87,Frog King,Mr. Slave,7
88,Frog King,Principal Victoria,1
89,Frog King,Mr. Garrison,5
90,Chef,Principal Victoria,18
91,Chef,Mr. Garrison,12
92,Liane,Stan,2
93,Mr. Mackey,Randy,1
94,Liane,Randy,1
95,Butters,Stephen,4
96,Butters,Sharon,2
97,Butters,Liane,2
98,Butters,Sheila,2
99,Mr. Mackey,Stephen,2
100,Liane,Stephen,2
101,Mr. Mackey,Sharon,1
102,Liane,Mr. Mackey,1
103,Mr. Mackey,Sheila,1
104,Liane,Sharon,1
105,Liane,Sheila,1
106,Mr. Slave,Singers,6
107,Mr. Garrison,Singers,4
108,Cartman,The Girls,4
109,Mr. Garrison,Sharon,7
110,Mr. Slave,Sharon,3
111,Audience,Sharon,1
112,Mr. Garrison,Randy,12
113,Gerald,Mr. Garrison,12
114,Audience,Mr. Garrison,7
115,Mr. Slave,Randy,4
116,Audience,Randy,1
117,Gerald,Mr. Slave,4
118,Audience,Gerald,1
119,Audience,Mr. Slave,3
120,Principal Victoria,Randy,1
121,Gerald,Principal Victoria,1
