,source,target,weight
0,Cartman,Kyle,545
1,Ike,Kyle,48
2,Kyle,Stan,378
3,Chef,Kyle,388
4,Cartman,Ike,39
5,Cartman,Stan,380
6,Cartman,Chef,439
7,Ike,Stan,27
8,Chef,Ike,21
9,Chef,Stan,241
10,Chef,Jeff,125
11,Cartman,Jeff,102
12,Jeff,Kyle,90
13,Jeff,Stan,54
14,Jeff,Kenny,18
15,Jeff,Narrator,12
16,Jeff,The boys,12
17,Chef,Kenny,52
18,Chef,Narrator,32
19,Chef,The boys,34
20,Cartman,Kenny,69
21,Cartman,Narrator,34
22,Cartman,The boys,56
23,Kenny,Kyle,62
24,Kyle,Narrator,30
25,Kyle,The boys,53
26,Kenny,Stan,52
27,Narrator,Stan,18
28,Stan,The boys,54
29,Kenny,Narrator,6
30,Kenny,The boys,15
31,Narrator,The boys,4
32,Alien,Kyle,60
33,Alien,Stan,104
34,Alien,Cartman,56
35,Alien,Kenny,22
36,Alien,The boys,42
37,Announcer,Jeff,3
38,Jeff,Others,3
39,Announcer,Others,1
40,Receptionist,Stan,6
41,Kyle,Receptionist,3
