,source,target,weight
0,Cartman,Kyle,59
1,Cartman,Father Maxi,2
2,Cartman,Mr. Garrison,8
3,Cartman,Elderly driver,5
4,Father Maxi,Kyle,1
5,Kyle,Mr. Garrison,1
6,Elderly driver,Kyle,7
7,Father Maxi,Mr. Garrison,1
8,Elderly driver,Father Maxi,1
9,Elderly driver,Mr. Garrison,1
10,Marvin,Stan,25
11,Sharon,Stan,2
12,Marvin,Sharon,4
13,Elderly man,Mona,16
14,Elderly woman 1,Seniors,15
15,Elderly man 1,Seniors,5
16,Marvin,Seniors,25
17,Elderly woman 2,Seniors,5
18,Elderly man 2,Seniors,5
19,Elderly man 3,Seniors,10
20,Elderly woman 3,Seniors,5
21,Elderly woman 4,Seniors,5
22,Elderly man 4,Seniors,5
23,Elderly man 1,Elderly woman 1,3
24,Elderly woman 1,Marvin,15
25,Elderly woman 1,Elderly woman 2,3
26,Elderly man 2,Elderly woman 1,3
27,Elderly man 3,Elderly woman 1,6
28,Elderly woman 1,Elderly woman 3,3
29,Elderly woman 1,Elderly woman 4,3
30,Elderly man 4,Elderly woman 1,3
31,Elderly man 1,Marvin,5
32,Elderly man 1,Elderly woman 2,1
33,Elderly man 1,Elderly man 2,1
34,Elderly man 1,Elderly man 3,2
35,Elderly man 1,Elderly woman 3,1
36,Elderly man 1,Elderly woman 4,1
37,Elderly man 1,Elderly man 4,1
38,Elderly woman 2,Marvin,5
39,Elderly man 2,Marvin,5
40,Elderly man 3,Marvin,10
41,Elderly woman 3,Marvin,5
42,Elderly woman 4,Marvin,5
43,Elderly man 4,Marvin,5
44,Elderly man 2,Elderly woman 2,1
45,Elderly man 3,Elderly woman 2,2
46,Elderly woman 2,Elderly woman 3,1
47,Elderly woman 2,Elderly woman 4,1
48,Elderly man 4,Elderly woman 2,1
49,Elderly man 2,Elderly man 3,2
50,Elderly man 2,Elderly woman 3,1
51,Elderly man 2,Elderly woman 4,1
52,Elderly man 2,Elderly man 4,1
53,Elderly man 3,Elderly woman 3,2
54,Elderly man 3,Elderly woman 4,2
55,Elderly man 3,Elderly man 4,2
56,Elderly woman 3,Elderly woman 4,1
57,Elderly man 4,Elderly woman 3,1
58,Elderly man 4,Elderly woman 4,1
59,Elderly man 5,Elderly woman 1,1
60,Kyle,Stan,32
61,Kenny,Kyle,6
62,Cartman,Stan,41
63,Cartman,Kenny,9
64,Kenny,Stan,9
65,Elderly passenger,Kyle,4
66,Elderly driver,Elderly passenger,6
67,Elderly driver,Stan,6
68,Cartman,Elderly passenger,2
69,Elderly passenger,Stan,4
70,Elderly man 2,Elderly woman 6,1
71,DMV official,Elderly man 2,3
72,Elderly man 2,Elderly man 6,1
73,Elderly man 2,Elderly man 7,1
74,Elderly man 2,Elderly woman 7,1
75,Elderly man 2,Elderly man 8,1
76,An Elderly Man,Elderly man 2,1
77,DMV official,Elderly woman 6,3
78,Elderly man 6,Elderly woman 6,1
79,Elderly man 7,Elderly woman 6,1
80,Elderly woman 6,Elderly woman 7,1
81,Elderly man 8,Elderly woman 6,1
82,An Elderly Man,Elderly woman 6,1
83,DMV official,Elderly man 6,3
84,DMV official,Elderly man 7,3
85,DMV official,Elderly woman 7,3
86,DMV official,Elderly man 8,3
87,An Elderly Man,DMV official,3
88,Elderly man 6,Elderly man 7,1
89,Elderly man 6,Elderly woman 7,1
90,Elderly man 6,Elderly man 8,1
91,An Elderly Man,Elderly man 6,1
92,Elderly man 7,Elderly woman 7,1
