,source,target,weight
0,Cartman,Kyle,13
1,Cartman,Stan,15
2,Kyle,Stan,22
3,Kyle,Michael,25
4,Michael,Stan,24
5,Cartman,Red,3
6,Kyle,Red,1
7,Craig,Red,2
8,Cartman,Craig,6
9,Craig,Kyle,2
10,Cartman,Michael,12
11,Sharon,Stan,5
12,Michael,Randy,12
13,Michael,Stephen,7
14,Michael,Sheila,4
15,Michael,Sharon,5
16,Randy,Stephen,3
17,Randy,Sheila,2
18,Randy,Sharon,3
19,Sheila,Stephen,1
20,Sharon,Stephen,1
21,Sharon,Sheila,1
22,Gerald,Randy,1
23,Gerald,Michael,3
24,Gerald,Stephen,1
25,Johnson,Yates,4
26,Randy,Stan,1
27,Cartman,Randy,1
28,Cartman,Sharon,1
29,Kenny,Stan,6
30,Kenny,Kyle,2
31,Kenny,Michael,9
32,Cartman,Yates,1
33,Michael,Yates,2
34,Kyle,Yates,1
