,source,target,weight
0,Cartman,Stan,49
1,Kyle,Stan,107
2,Herbert Garrison,Stan,6
3,Stan,Townsfolk,2
4,Cartman,Kyle,178
5,Cartman,Herbert Garrison,9
6,Cartman,Townsfolk,2
7,Herbert Garrison,Kyle,8
8,Kyle,Townsfolk,1
9,Herbert Garrison,Townsfolk,2
10,Herbert Garrison,Randy,10
11,Cartman,Randy,18
12,Kyle,Randy,49
13,Manager,Randy,12
14,Randy,Sheila,2
15,Randy,Sharon,15
16,Jimmy,Randy,2
17,Chef,Randy,13
18,Herbert Garrison,Manager,2
19,Herbert Garrison,Sheila,1
20,Herbert Garrison,Sharon,2
21,Herbert Garrison,Jimmy,1
22,Chef,Herbert Garrison,3
23,Cartman,Manager,14
24,Cartman,Sheila,5
25,Cartman,Sharon,10
26,Cartman,Jimmy,5
27,Cartman,Chef,7
28,Kyle,Manager,16
29,Kyle,Sheila,4
30,Kyle,Sharon,8
31,Jimmy,Kyle,4
32,Chef,Kyle,15
33,Manager,Sheila,2
34,Manager,Sharon,4
35,Jimmy,Manager,2
36,Chef,Manager,10
37,Sharon,Sheila,2
38,Jimmy,Sheila,1
39,Chef,Sheila,1
40,Jimmy,Sharon,2
41,Chef,Sharon,2
42,Chef,Jimmy,1
43,Randy,Stan,118
44,Butters,Stan,2
45,Butters,Kyle,1
46,Chef,Gerald,6
47,Gerald,Randy,17
48,Gerald,Manager,4
49,Gerald,Kyle,11
50,Cartman,Gerald,3
51,Randy,Shelly,5
52,Shelly,Stan,3
53,Sharon,Stan,3
54,Sharon,Shelly,1
55,Gerald,Herbert Garrison,4
56,Gerald,Stan,4
57,Gerald,Jimbo,2
58,Gerald,Stephen,2
59,Jimbo,Randy,4
60,Randy,Stephen,4
61,Herbert Garrison,Jimbo,2
62,Herbert Garrison,Stephen,2
63,Jimbo,Stan,1
64,Chef,Stan,9
65,Stan,Stephen,1
66,Chef,Jimbo,1
67,Jimbo,Stephen,1
68,Jimbo,Kyle,1
69,Chef,Stephen,1
70,Kyle,Stephen,1
71,Driver,Kyle,6
72,Driver,Stan,3
73,Cartman,Driver,3
74,Kyle,Receptionist,4
75,Receptionist,Stan,2
