,source,target,weight
0,Cartman,Jimmy,96
1,Butters,Cartman,89
2,Cartman,Tolkien,63
3,Cartman,Kyle,96
4,Cartman,Stan,148
5,Cartman,Mr. Meryl,63
6,Cartman,Craig,19
7,Butters,Jimmy,27
8,Butters,Tolkien,29
9,Butters,Kyle,52
10,Butters,Stan,74
11,Butters,Mr. Meryl,18
12,Butters,Craig,3
13,Jimmy,Tolkien,23
14,Jimmy,Kyle,42
15,Jimmy,Stan,62
16,Jimmy,Mr. Meryl,31
17,Craig,Jimmy,5
18,Kyle,Tolkien,32
19,Stan,Tolkien,46
20,Mr. Meryl,Tolkien,7
21,Craig,Tolkien,2
22,Kyle,Stan,96
23,Kyle,Mr. Meryl,21
24,Craig,Kyle,8
25,Mr. Meryl,Stan,43
26,Craig,Stan,16
27,Craig,Mr. Meryl,10
28,Stan,Whistlin' Willy,6
29,Bradley,Stan,3
30,Kevin,Stan,3
31,Cartman,Whistlin' Willy,6
32,Bradley,Whistlin' Willy,2
33,Kevin,Whistlin' Willy,2
34,Kyle,Whistlin' Willy,2
35,Craig,Whistlin' Willy,6
36,Bradley,Cartman,3
37,Cartman,Kevin,3
38,Bradley,Kevin,1
39,Bradley,Kyle,1
40,Bradley,Craig,3
41,Kevin,Kyle,1
42,Craig,Kevin,3
43,Cartman,Kenny,2
44,Craig,Kenny,2
45,Clyde,Kenny,2
46,Kenny,Kids,2
47,Kenny,Kyle,4
48,Kenny,Tolkien,2
49,Kenny,Stan,4
50,Butters,Kenny,2
51,Cartman,Clyde,1
52,Cartman,Kids,1
53,Clyde,Craig,1
54,Craig,Kids,1
55,Clyde,Kids,1
56,Clyde,Kyle,2
57,Clyde,Tolkien,1
58,Clyde,Stan,2
59,Butters,Clyde,1
60,Kids,Kyle,2
61,Kids,Tolkien,1
62,Kids,Stan,2
63,Butters,Kids,1
64,Announcer,Kyle,8
65,Announcer,Cartman,11
66,Announcer,Tolkien,5
67,Announcer,Stan,11
68,Announcer,Butters,7
69,Announcer,Jimmy,3
70,Raisins Girls,Stan,1
71,Cartman,Raisins Girls,4
72,Raisins Girls,Tolkien,2
73,Jimmy,Raisins Girls,2
74,Kyle,Raisins Girls,1
75,Stan,The boys,4
76,Kyle,The boys,2
77,Cartman,The boys,1
78,Mr. Meryl,The boys,4
79,Butters,The boys,1
80,Kyle,Pharmacist,15
81,Herbert Garrison,Kyle,6
82,Kyle,Mr. Slave,6
83,Pharmacist,Stan,15
84,Herbert Garrison,Stan,6
85,Mr. Slave,Stan,6
86,Cartman,Pharmacist,5
87,Cartman,Herbert Garrison,2
88,Cartman,Mr. Slave,2
89,Jimmy,Pharmacist,10
90,Herbert Garrison,Jimmy,4
91,Jimmy,Mr. Slave,4
92,Herbert Garrison,Pharmacist,10
93,Mr. Slave,Pharmacist,10
94,Butters,Pharmacist,5
95,Herbert Garrison,Mr. Slave,4
96,Butters,Herbert Garrison,2
97,Butters,Mr. Slave,2
98,Kyle,Pete,5
99,Bebe,Kyle,5
100,Kyle,Principal Victoria,10
101,Butters,Pete,3
102,Bebe,Butters,3
103,Butters,Principal Victoria,6
104,Pete,Stan,7
105,Bebe,Stan,7
106,Principal Victoria,Stan,14
107,Cartman,Pete,3
108,Bebe,Cartman,3
109,Cartman,Principal Victoria,6
110,Pete,Tolkien,2
111,Bebe,Tolkien,2
112,Principal Victoria,Tolkien,4
113,Jimmy,Pete,2
114,Bebe,Jimmy,2
115,Jimmy,Principal Victoria,4
116,Announcer,Pete,1
117,Announcer,Bebe,1
118,Announcer,Principal Victoria,2
119,Bebe,Pete,1
120,Pete,Principal Victoria,2
121,Bebe,Principal Victoria,2
