,source,target,weight
0,Narrator,Stan,67
1,Doctor,Stan,20
2,Doctor,Narrator,10
3,Kyle,Stan,25
4,Santa,Stan,32
5,Singers,Stan,5
6,Kyle,Santa,14
7,Kyle,Singers,1
8,Santa,Singers,3
9,Cartman,Kyle,24
10,Cartman,Mr. Garrison,6
11,Butters,Cartman,12
12,Cartman,Tolkien,6
13,Cartman,Clyde,12
14,Cartman,Stan,12
15,Kyle,Mr. Garrison,4
16,Butters,Kyle,8
17,Kyle,Tolkien,4
18,Clyde,Kyle,8
19,Butters,Mr. Garrison,2
20,Mr. Garrison,Tolkien,1
21,Clyde,Mr. Garrison,2
22,Mr. Garrison,Stan,2
23,Butters,Tolkien,2
24,Butters,Clyde,4
25,Butters,Stan,4
26,Clyde,Tolkien,2
27,Stan,Tolkien,2
28,Clyde,Stan,4
29,Kyle,Narrator,1
30,Narrator,Santa,3
