,source,target,weight
0,Dr. Biber,Mr. Garrison,49
1,Kyle,Stan,1069
2,Cartman,Kyle,912
3,Kyle,Lead referee,5
4,Coach,Kyle,27
5,Cartman,Stan,966
6,Lead referee,Stan,2
7,Coach,Stan,8
8,Cartman,Lead referee,1
9,Cartman,Coach,4
10,Coach,Lead referee,4
11,Mrs. Garrison,Randy,16
12,Kyle,Mrs. Garrison,125
13,Cartman,Mrs. Garrison,140
14,Gerald,Kyle,76
15,Gerald,Ike,8
16,Gerald,Sheila,48
17,Ike,Kyle,6
18,Kyle,Sheila,74
19,Ike,Sheila,8
20,Dr. Biber,Kyle,30
21,Dr. Biber,Stan,18
22,Mr. Slave,Mrs. Garrison,189
23,Dr. Biber,Gerald,51
24,Dr. Biber,Singer,7
25,Gerald,Singer,7
26,Men,Mrs. Garrison,2
27,Mrs. Garrison,Redhead,1
28,Butters,Stan,52
29,Clyde,Craig,23
30,Craig,Kyle,47
31,Craig,Stan,44
32,Craig,Gerald,1
33,Cartman,Craig,41
34,Clyde,Kyle,79
35,Clyde,Stan,43
36,Clyde,Gerald,1
37,Cartman,Clyde,76
38,Gerald,Stan,51
39,Cartman,Gerald,18
40,Mrs. Garrison,Nurse,1
41,Doctor,Mrs. Garrison,49
42,Dr. Biber,Mrs. Garrison,32
43,Dr. Biber,Patient,5
44,Mrs. Garrison,Patient,5
45,Coach,Gerald,2
46,Mrs. Garrison,Stan,154
47,Gerald,Usher,6
48,Mrs. Garrison,Security guard,8
49,Mrs. Garrison,Usher,3
50,Security guard,Usher,2
51,Gerald,Mrs. Garrison,10
52,Gerald,Security guard,4
53,Dr. Biber,Security guard,2
54,Announcer,Stan,17
55,Announcer,Gerald,4
56,Announcer,Mrs. Garrison,4
57,Announcer,Kyle,18
58,Cartman,Elderly woman,9
59,Driver,Kyle,51
60,Kenny,Kyle,66
61,Driver,Stan,19
62,Kenny,Stan,80
63,Driver,Kenny,4
64,Cartman,Singer,5
65,Sharon,Stan,122
66,Chef,Linda Stotch,2
67,Chef,Gerald,2
68,Chef,Guard,2
69,Cartman,Chef,34
70,Chef,Mayor McDaniels,6
71,Chef,Randy,13
72,Chef,Linda,7
73,Chef,Mr. Mackey,3
74,Gerald,Linda Stotch,1
75,Guard,Linda Stotch,1
76,Cartman,Linda Stotch,7
77,Linda Stotch,Mayor McDaniels,3
78,Linda Stotch,Randy,1
79,Linda,Linda Stotch,1
80,Linda Stotch,Mr. Mackey,1
81,Gerald,Guard,1
82,Gerald,Mayor McDaniels,3
83,Gerald,Randy,55
84,Gerald,Linda,1
85,Gerald,Mr. Mackey,4
86,Cartman,Guard,7
87,Guard,Mayor McDaniels,3
88,Guard,Randy,1
89,Guard,Linda,1
90,Guard,Mr. Mackey,1
91,Cartman,Mayor McDaniels,51
92,Cartman,Randy,192
93,Cartman,Linda,54
94,Cartman,Mr. Mackey,20
95,Mayor McDaniels,Randy,3
96,Linda,Mayor McDaniels,3
97,Mayor McDaniels,Mr. Mackey,3
98,Linda,Randy,26
99,Mr. Mackey,Randy,14
100,Linda,Mr. Mackey,1
101,Officer Barbrady,Stan,20
102,Kyle,Officer Barbrady,20
103,Cartman,Driver,20
104,Driver,Officer Barbrady,8
105,Cartman,Officer Barbrady,53
106,Mayor McDaniels.,Officer Barbrady,3
107,Mayor McDaniels,Officer Barbrady,15
108,Cartman,Mayor McDaniels.,6
109,Mayor McDaniels,Mayor McDaniels.,5
110,Anchorman,MC,2
111,Anchorman,Stan,1
112,Anchorman,Kyle,1
113,MC,Stan,2
114,Kyle,MC,2
115,Randy,Sharon,113
116,Anchorman,Reporter,1
117,Jimbo,Randy,17
118,Jimbo,Male hippie,1
119,Female hippie,Jimbo,1
120,Male hippie,Randy,2
121,Female hippie,Randy,2
122,Female hippie,Male hippie,1
123,Cartman,Sheila,24
124,Cartman,Jimbo,24
125,Cartman,Principal Victoria,9
126,Randy,Sheila,16
127,Principal Victoria,Randy,4
128,Chef,Sheila,3
129,Jimbo,Sheila,5
130,Mr. Mackey,Sheila,2
131,Principal Victoria,Sheila,2
132,Chef,Jimbo,3
