,source,target,weight
0,Cartman,Stan,274
1,Mrs. Garrison,Stan,3
2,Class,Stan,1
3,Cartman,Mrs. Garrison,5
4,Cartman,Class,2
5,Class,Mrs. Garrison,2
6,Cartman,Kyle,271
7,Kyle,Stan,219
8,Cartman,Tolkien,89
9,Stan,Tolkien,34
10,Kyle,Tolkien,39
11,Kenny,Stan,25
12,Cartman,Kenny,39
13,Kenny,Tolkien,8
14,Kenny,Kyle,24
15,Man,Tolkien,3
16,Mrs. Garrison,Tolkien,3
17,Principal Victoria,Tolkien,3
18,Man,Stan,1
19,Cartman,Man,1
20,Man,Mrs. Garrison,1
21,Man,Principal Victoria,1
22,Principal Victoria,Stan,1
23,Cartman,Principal Victoria,1
24,Mrs. Garrison,Principal Victoria,1
25,Agent,Kyle,41
26,Don,Kyle,12
27,Agent,Cartman,44
28,Cartman,Don,28
29,Agent,Tolkien,10
30,Don,Tolkien,20
31,Agent,Kenny,2
32,Don,Kenny,4
33,Agent,Stan,39
34,Don,Stan,8
35,Agent,Don,8
36,Kyle,Mr. Kim,14
37,Cartman,Mr. Kim,21
38,Mr. Kim,Stan,53
39,Mr. Kim,Tong leader,63
40,Stan,Tong leader,57
41,Contestant,Kyle,14
42,Attendant,Kyle,7
43,Cartman,Contestant,12
44,Attendant,Cartman,6
45,Contestant,Stan,14
46,Attendant,Contestant,2
47,Agent,Contestant,10
48,Attendant,Stan,7
49,Agent,Attendant,5
50,Announcer,Stallone,3
51,Cartman,Stallone,28
52,Kyle,Stallone,18
53,Stallone,Stan,20
54,Stallone,The Boys,8
55,Announcer,Cartman,3
56,Announcer,Kyle,2
57,Announcer,Stan,1
58,Announcer,The Boys,2
59,Cartman,The Boys,28
60,Kyle,The Boys,18
61,Stan,The Boys,20
62,Cartman,Producer,55
63,Cartman,Tong leader,26
64,Producer,Stallone,10
65,Kenny,Stallone,4
66,Stallone,Tong leader,2
67,Producer,Stan,45
68,Kyle,Producer,35
69,Kenny,Producer,10
70,Producer,The Boys,10
71,Producer,Tong leader,5
72,Kyle,Tong leader,42
73,Kenny,The Boys,4
74,Kenny,Tong leader,2
75,The Boys,Tong leader,2
76,Guard 1,Stan,1
77,Guard 1,Kyle,1
78,Cartman,Guard 1,2
