,source,target,weight
0,Butters,Umpire,7
1,Butters,Randy,10
2,Butters,Sharon,2
3,Butters,Stan,22
4,Butters,Kyle,10
5,Butters,Cartman,11
6,Butters,Stephen,2
7,Butters,Gerald,1
8,Butters,Tom,1
9,Randy,Umpire,40
10,Sharon,Umpire,6
11,Stan,Umpire,42
12,Kyle,Umpire,36
13,Cartman,Umpire,40
14,Stephen,Umpire,9
15,Gerald,Umpire,2
16,Tom,Umpire,2
17,Randy,Sharon,39
18,Randy,Stan,73
19,Kyle,Randy,40
20,Cartman,Randy,54
21,Randy,Stephen,22
22,Gerald,Randy,13
23,Randy,Tom,5
24,Sharon,Stan,14
25,Kyle,Sharon,7
26,Cartman,Sharon,8
27,Sharon,Stephen,4
28,Gerald,Sharon,2
29,Sharon,Tom,2
30,Kyle,Stan,51
31,Cartman,Stan,57
32,Stan,Stephen,19
33,Gerald,Stan,9
34,Stan,Tom,6
35,Cartman,Kyle,38
36,Kyle,Stephen,11
37,Gerald,Kyle,4
38,Kyle,Tom,3
39,Cartman,Stephen,10
40,Cartman,Gerald,4
41,Cartman,Tom,3
42,Gerald,Stephen,10
43,Stephen,Tom,2
44,Gerald,Tom,1
45,Cartman,Craig,4
46,Cartman,Jimmy,1
47,Craig,Stan,12
48,Jimmy,Stan,4
49,Butters,Craig,6
50,Craig,Jimmy,2
51,Craig,Kyle,6
52,Butters,Jimmy,3
53,Jimmy,Kyle,1
54,Randy,Roger,4
55,Men,Roger,1
56,Roger,Stephen,4
57,Gerald,Roger,2
58,Roger,Stan,3
59,Richard,Roger,1
60,Men,Randy,4
61,Randy,Richard,4
62,Men,Stephen,3
63,Gerald,Men,2
64,Men,Stan,1
65,Men,Richard,1
66,Richard,Stephen,3
67,Gerald,Richard,2
68,Richard,Stan,1
69,Morgan,Stan,24
70,Kyle,Morgan,18
71,Butters,Morgan,6
72,Morgan,Randy,30
73,Cartman,Morgan,30
74,Morgan,Umpire,24
75,Reporter,Stan,9
76,Randy,Reporter,9
77,Reporter,Sheila,3
78,A woman,Reporter,3
79,Kyle,Reporter,6
80,Cartman,Reporter,6
81,Clyde,Reporter,3
82,Craig,Reporter,3
83,Sheila,Stan,3
84,A woman,Stan,3
85,Clyde,Stan,3
86,Randy,Sheila,3
87,A woman,Randy,3
88,Clyde,Randy,3
89,Craig,Randy,3
90,A woman,Sheila,1
91,Kyle,Sheila,2
92,Cartman,Sheila,2
93,Clyde,Sheila,1
94,Craig,Sheila,1
95,A woman,Kyle,2
96,A woman,Cartman,2
97,A woman,Clyde,1
98,A woman,Craig,1
99,Clyde,Kyle,2
100,Cartman,Clyde,2
101,Clyde,Craig,1
102,Announcer,Cartman,2
103,Cartman,Roger,2
104,Cartman,Tolkien,2
105,Announcer,Kyle,3
106,Kyle,Roger,3
107,Kyle,Tolkien,3
108,Announcer,Umpire,5
109,Announcer,Stan,2
110,Announcer,Roger,1
111,Announcer,Stephen,1
112,Announcer,Tolkien,1
113,Roger,Umpire,5
114,Tolkien,Umpire,5
115,Stan,Tolkien,2
116,Roger,Tolkien,1
117,Stephen,Tolkien,1
