,source,target,weight
0,Heidi,Mrs. Garrison,23
1,Heidi,Timmy,2
2,Heidi,Stan,6
3,Heidi,Kenny,2
4,Heidi,Mr. Slave,9
5,Big Gay Al,Heidi,4
6,Mrs. Garrison,Timmy,23
7,Mrs. Garrison,Stan,103
8,Kenny,Mrs. Garrison,23
9,Mr. Slave,Mrs. Garrison,153
10,Big Gay Al,Mrs. Garrison,73
11,Stan,Timmy,6
12,Kenny,Timmy,2
13,Mr. Slave,Timmy,9
14,Big Gay Al,Timmy,4
15,Kenny,Stan,6
16,Mr. Slave,Stan,30
17,Big Gay Al,Stan,15
18,Kenny,Mr. Slave,9
19,Big Gay Al,Kenny,4
20,Big Gay Al,Mr. Slave,37
21,Kyle,Stan,191
22,Bebe,Stan,26
23,Bebe,Kyle,12
24,Bill Owens,Mrs. Garrison,34
25,Bebe,Wendy,6
26,Mrs. Garrison,Wendy,21
27,Stan,Wendy,23
28,Kyle,Wendy,51
29,Bebe,Mrs. Garrison,14
30,Kyle,Mrs. Garrison,75
31,Heidi,Kyle,1
32,Kyle,Timmy,1
33,Kenny,Kyle,1
34,Bill Owens,Mr. Slave,5
35,Cartman,Mrs. Garrison,100
36,Jakartha,Mrs. Garrison,82
37,Jakartha,Stan,14
38,Jakartha,Kyle,18
39,Big Gay Al,Bill Owens,2
40,Aide,Big Gay Al,1
41,Big Gay Al,Kyle,6
42,Big Gay Al,Jakartha,2
43,Aide,Bill Owens,2
44,Bill Owens,Kyle,12
45,Bill Owens,Jakartha,4
46,Bill Owens,Stan,6
47,Aide,Mrs. Garrison,9
48,Aide,Mr. Slave,1
49,Kyle,Mr. Slave,6
50,Jakartha,Mr. Slave,2
51,Aide,Kyle,6
52,Aide,Jakartha,2
53,Aide,Stan,3
