,source,target,weight
0,Cartman,Mrs. Garrison,16
1,Kyle,Mrs. Garrison,22
2,Class,Mrs. Garrison,3
3,Butters,Mrs. Garrison,4
4,Clyde,Mrs. Garrison,3
5,Mrs. Garrison,Stan,6
6,Cartman,Kyle,84
7,Cartman,Class,5
8,Butters,Cartman,6
9,Cartman,Clyde,17
10,Cartman,Stan,25
11,Class,Kyle,7
12,Butters,Kyle,8
13,Clyde,Kyle,18
14,Kyle,Stan,55
15,Butters,Class,1
16,Class,Clyde,1
17,Class,Stan,2
18,Butters,Clyde,1
19,Butters,Stan,2
20,Clyde,Stan,4
21,Girl,Kyle,4
22,Boy,Kyle,9
23,Father,Kyle,28
24,Kyle,Mother,8
25,Kyle,Three kids,4
26,Boy,Girl,6
27,Father,Girl,7
28,Girl,Stan,1
29,Girl,Mother,2
30,Girl,Three kids,1
31,Boy,Father,7
32,Boy,Stan,3
33,Boy,Mother,2
34,Boy,Three kids,1
35,Father,Stan,7
36,Father,Mother,14
37,Father,Three kids,7
38,Mother,Stan,2
39,Stan,Three kids,1
40,Mother,Three kids,2
41,Kyle,Tolkien,7
42,Jimmy,Kyle,7
43,Kenny,Kyle,15
44,Boy,Clyde,1
45,Clyde,Tolkien,4
46,Clyde,Jimmy,4
47,Clyde,Kenny,1
48,Boy,Tolkien,1
49,Boy,Jimmy,1
50,Boy,Kenny,1
51,Jimmy,Tolkien,2
52,Stan,Tolkien,2
53,Kenny,Tolkien,1
54,Jimmy,Stan,2
55,Jimmy,Kenny,1
56,Kenny,Stan,12
57,Cartman,Liane,15
58,Doctor,Liane,12
59,Cartman,Doctor,12
60,Cartman,Tolkien,4
61,Craig,Tolkien,1
62,Cartman,Craig,4
63,Cartman,Jimmy,4
64,Clyde,Craig,3
65,Craig,Kyle,2
66,Craig,Jimmy,1
67,Boy,Cartman,4
68,Boy,Older Boy,2
69,Boy,Kids,3
70,Cartman,Older Boy,8
71,Cartman,Girl,4
72,Cartman,Kids,4
73,Girl,Older Boy,2
74,Kids,Older Boy,2
75,Girl,Kids,3
76,Cartman,Gingers,123
77,Gingers,Kyle,20
78,Gingers,Stan,10
79,Cartman,Reporter,2
80,Gingers,Reporter,1
81,Cartman,Gary Nelson,21
82,Cartman,Ginger 1,7
83,Cartman,Ginger 2,7
84,Cartman,Ginger 3,7
85,Gary Nelson,Gingers,9
86,Ginger 1,Gingers,3
87,Ginger 2,Gingers,3
88,Ginger 3,Gingers,3
89,Gary Nelson,Ginger 1,3
90,Gary Nelson,Ginger 2,3
91,Gary Nelson,Ginger 3,3
92,Ginger 1,Ginger 2,1
93,Ginger 1,Ginger 3,1
94,Ginger 2,Ginger 3,1
