,source,target,weight
0,Gerald,Richard,5
1,Richard,Stephen,2
2,Mrs. Garrison,Richard,2
3,Gerald,Stephen,2
4,Gerald,Mrs. Garrison,2
5,Mrs. Garrison,Stephen,1
6,Driver,Kyle,6
7,Gerald,Kyle,104
8,Driver,Gerald,6
9,Kyle,Stan,14
10,Kyle,Randy,35
11,Jimbo,Kyle,10
12,Darryl,Kyle,5
13,Gerald,Stan,36
14,Gerald,Randy,70
15,Gerald,Jimbo,21
16,Darryl,Gerald,10
17,Randy,Stan,21
18,Jimbo,Stan,10
19,Darryl,Stan,2
20,Jimbo,Randy,22
21,Darryl,Randy,7
22,Darryl,Jimbo,2
23,Ike,Kyle,18
24,Gerald,Ike,13
25,Butters,Stan,18
26,Cartman,Tolkien,3
27,Clyde,Tolkien,2
28,Craig,Tolkien,1
29,Stan,Tolkien,2
30,Cartman,Clyde,6
31,Cartman,Craig,3
32,Cartman,Stan,29
33,Clyde,Craig,2
34,Clyde,Stan,8
35,Craig,Stan,2
36,Gerald,Sheila,13
37,Peter,Sheila,8
38,Gerald,Peter,20
39,Butters,Cartman,30
40,Richard,Stan,4
41,Jimbo,Richard,1
42,Brian,Kyle,6
43,Brian,Gerald,4
44,Brian,Ike,2
45,Randy,Stephen,4
46,Jimbo,Stephen,2
47,Stan,Stephen,1
48,Cartman,Gerald,2
49,Cartman,Kyle,2
50,Cartman,Ike,2
51,Clyde,Randy,2
