,source,target,weight
0,Phillip,Terrance,6
1,Mohammad,Terrance,4
2,Mohammad,Phillip,2
3,Network President,Phillip,8
4,Network President,Terrance,8
5,Cartman,Receptionist,4
6,Bart,Receptionist,2
7,Bart,Cartman,81
8,Al-Zawahri,SNN anchor,4
9,Osama bin Laden,SNN anchor,3
10,SNN anchor,Trucker,6
11,Kyle,SNN anchor,3
12,Al-Zawahri,Osama bin Laden,1
13,Al-Zawahri,Trucker,2
14,Al-Zawahri,Kyle,1
15,Osama bin Laden,Trucker,2
16,Kyle,Osama bin Laden,1
17,Kyle,Trucker,4
18,President Bush,Reporters,25
19,Reporters,TCO reporter,10
20,LSX reporter,Reporters,5
21,President Bush,TCO reporter,10
22,LSX reporter,President Bush,5
23,LSX reporter,TCO reporter,2
24,Cartman,FOX President,124
25,FOX President,Staff,5
26,FOX President,Staffer,5
27,Cartman,Staff,5
28,Cartman,Staffer,5
29,Staff,Staffer,1
30,Bart,Kyle,21
31,Miss Travis,Mitchell,3
32,Cartman,Mitchell,23
33,Cartman,Miss Travis,2
34,Cartman,Kyle,163
35,FOX President,Mitchell,8
36,Executive,Mitchell,2
37,Executive,FOX President,4
38,Cartman,Executive,2
39,Computer Voice,FOX President,13
40,FOX President,Kyle,182
41,Computer Voice,Kyle,14
42,Cartman,Computer Voice,7
43,An Official,President Bush,2
44,Peter,President Bush,2
45,President Bush,SNN anchor,2
46,Al-Zawahri,President Bush,2
47,An Official,Peter,1
48,An Official,SNN anchor,1
49,Al-Zawahri,An Official,1
50,Peter,SNN anchor,1
51,Al-Zawahri,Peter,1
52,American Female,President Bush,1
53,Jesus,President Bush,1
54,American Female,Jesus,1
