,source,target,weight
0,Cartman,Liane,24
1,Mrs. Garrison,Principal Victoria,6
2,Mr. Mackey,Principal Victoria,2
3,Mr. Mackey,Mrs. Garrison,2
4,Cartman,Stan,23
5,Kyle,Stan,13
6,Mrs. Garrison,Stan,18
7,Butters,Stan,1
8,Cartman,Kyle,30
9,Cartman,Mrs. Garrison,6
10,Butters,Cartman,24
11,Kyle,Mrs. Garrison,3
12,Butters,Kyle,1
13,Butters,Mrs. Garrison,3
14,Clerk,Liane,2
15,Cartman,Clerk,1
16,Kenny,Stan,3
17,Cartman,Kenny,7
18,Kenny,Kyle,4
19,Mrs. Garrsion,Principal Victoria,25
20,Mr. Triscotti,Mrs. Garrsion,15
21,Daughter,Mrs. Garrsion,5
22,Mr. Dawkins,Mrs. Garrsion,5
23,Mr. Triscotti,Principal Victoria,15
24,Daughter,Principal Victoria,5
25,Mr. Dawkins,Principal Victoria,7
26,Daughter,Mr. Triscotti,3
27,Mr. Dawkins,Mr. Triscotti,3
28,Daughter,Mr. Dawkins,1
29,Mr. Dawkins,Mrs. Garrison,169
30,Cartman,Shvek,66
31,Cartman,Medic,36
32,Analyst,Cartman,8
33,Medic,Shvek,25
34,Analyst,Shvek,4
35,Analyst,Medic,2
36,Mr. Dawkins,Stan,6
37,Butters,Dougie,84
38,Dougie,Linda,18
39,Butters,Linda,24
