,source,target,weight
0,Kyle,Mrs. Garrison,23
1,Kyle,Stan,19
2,Cartman,Kyle,36
3,Butters,Kyle,4
4,Mrs. Garrison,Stan,21
5,Cartman,Mrs. Garrison,23
6,Butters,Mrs. Garrison,11
7,Cartman,Stan,20
8,Butters,Stan,4
9,Butters,Cartman,4
10,Kenny,Kyle,7
11,Cartman,Kenny,6
12,Kenny,Stan,3
13,Allyson,Mrs. Garrison,9
14,Janet,Mrs. Garrison,6
15,Allyson,Janet,92
16,Cartman,Laborers,4
17,Cartman,The Boys,4
18,Kyle,Laborers,6
19,Laborers,Stan,2
20,Laborers,The Boys,1
21,Kenny,Laborers,1
22,Kyle,The Boys,6
23,Stan,The Boys,2
24,Kenny,The Boys,1
25,Clyde,Kyle,3
26,Clyde,Jimmy,1
27,Cartman,Clyde,3
28,Clyde,Mrs. Garrison,6
29,Clyde,Stan,1
30,Butters,Clyde,1
31,Class,Clyde,1
32,Jimmy,Kyle,3
33,Class,Kyle,3
34,Cartman,Jimmy,3
35,Jimmy,Mrs. Garrison,6
36,Jimmy,Stan,1
37,Butters,Jimmy,1
38,Class,Jimmy,1
39,Cartman,Class,3
40,Class,Mrs. Garrison,6
41,Class,Stan,1
42,Butters,Class,1
43,Janet,Tracy,14
44,Linda,Tracy,4
45,Patty,Tracy,2
46,Katie,Tracy,4
47,Janet,Linda,37
48,Janet,Patty,7
49,Janet,Katie,26
50,Linda,Patty,2
51,Katie,Linda,5
52,Katie,Patty,2
53,Janet,Mayor McDaniels,12
54,Lesbians,Mayor McDaniels,4
55,Janet,Lesbians,15
56,Emir,Janet,72
57,Janet,Persian,12
58,Janet,Narrator,84
59,Anchor,Janet,12
60,Janet,Tumon,72
61,Janet,Persians,12
62,Janet,Xerxes,64
63,Allyson,Katie,1
64,Allyson,Linda,6
65,Allyson,Emir,6
66,Allyson,Persian,1
67,Allyson,Narrator,7
68,Allyson,Anchor,1
69,Allyson,Tumon,6
70,Allyson,Persians,1
71,Allyson,Lesbians,1
72,Allyson,Xerxes,3
73,Emir,Katie,6
74,Katie,Persian,1
75,Katie,Narrator,7
76,Anchor,Katie,1
77,Katie,Tumon,6
78,Katie,Persians,1
79,Katie,Lesbians,1
80,Katie,Xerxes,2
81,Emir,Linda,6
82,Linda,Persian,1
83,Linda,Narrator,7
84,Anchor,Linda,1
85,Linda,Tumon,6
86,Linda,Persians,1
87,Lesbians,Linda,1
88,Linda,Xerxes,2
89,Emir,Persian,6
90,Emir,Narrator,42
91,Anchor,Emir,6
92,Emir,Tumon,36
93,Emir,Persians,6
94,Emir,Lesbians,6
95,Emir,Xerxes,12
96,Narrator,Persian,7
97,Anchor,Persian,1
98,Persian,Tumon,6
99,Persian,Persians,1
100,Lesbians,Persian,1
101,Persian,Xerxes,2
102,Anchor,Narrator,7
103,Narrator,Tumon,42
104,Narrator,Persians,7
105,Lesbians,Narrator,7
106,Narrator,Xerxes,14
107,Anchor,Tumon,6
108,Anchor,Persians,1
109,Anchor,Lesbians,1
110,Anchor,Xerxes,2
111,Persians,Tumon,6
112,Lesbians,Tumon,6
113,Tumon,Xerxes,12
114,Lesbians,Persians,1
115,Persians,Xerxes,2
116,Lesbians,Xerxes,2
117,Janet,Laborers,7
118,Laborers,Linda,1
119,Allyson,Laborers,2
