,source,target,weight
0,Kyle,Stan,98
1,Cartman,Kyle,91
2,Kenny,Kyle,14
3,Cartman,Stan,77
4,Kenny,Stan,14
5,Cartman,Kenny,12
6,Cartman,Clyde,3
7,Clyde,Stan,2
8,Clyde,Kyle,2
9,Clyde,Kenny,1
10,Mayor McDaniels,Randy,2
11,Mayor McDaniels,Mr. Mackey,1
12,Gerald,Mayor McDaniels,1
13,Aide,Mayor McDaniels,1
14,Mayor McDaniels,Mrs. Testaburger,1
15,Homeless advisor,Mayor McDaniels,1
16,Mr. Mackey,Randy,2
17,Gerald,Randy,24
18,Aide,Randy,2
19,Mrs. Testaburger,Randy,2
20,Homeless advisor,Randy,2
21,Gerald,Mr. Mackey,1
22,Aide,Mr. Mackey,1
23,Mr. Mackey,Mrs. Testaburger,1
24,Homeless advisor,Mr. Mackey,1
25,Aide,Gerald,1
26,Gerald,Mrs. Testaburger,1
27,Gerald,Homeless advisor,37
28,Aide,Mrs. Testaburger,1
29,Aide,Homeless advisor,1
30,Homeless advisor,Mrs. Testaburger,1
31,Jimbo,Randy,22
32,Aide,Stan,12
33,Aide,The Boys,8
34,Aide,Kyle,4
35,Aide,Cartman,8
36,Aide,Kenny,4
37,Stan,The Boys,10
38,Kyle,The Boys,6
39,Cartman,The Boys,16
40,Kenny,The Boys,2
41,Gerald,Stephen,11
42,Randy,Stephen,34
43,Homeless advisor,Stan,16
44,Cartman,Homeless advisor,30
45,Homeless advisor,Kyle,30
46,Linda,Stephen,13
47,Linda,Randy,39
48,Linda,Steve,6
49,Stephen,Steve,9
50,Randy,Steve,12
51,Gerald,Kyle,8
52,Cartman,Gerald,8
53,Jimbo,Linda,10
54,Gerald,Jimbo,2
55,Jimbo,Stephen,8
56,Gerald,Linda,4
57,Jimbo,Stan,2
58,Jimbo,Kyle,2
59,Cartman,Jimbo,6
60,Jimbo,The Boys,8
61,Stan,Stephen,3
62,Kyle,Stephen,3
63,Cartman,Stephen,9
64,Stephen,The Boys,12
65,Linda,Stan,1
66,Kyle,Linda,1
67,Cartman,Linda,3
68,Linda,The Boys,4
69,Randy,Stan,3
70,Kyle,Randy,3
71,Cartman,Randy,9
72,Randy,The Boys,12
