,source,target,weight
0,Dr. Doctor,Randy,6
1,Randy,Sharon,114
2,Sharon,Stan,29
3,Sharon,Shelly,7
4,Randy,Stan,56
5,Randy,Shelly,8
6,Shelly,Stan,2
7,Gerald,Stephen,19
8,Gerald,Stuart,14
9,Gerald,Randy,53
10,Gerald,Jimbo,11
11,Stephen,Stuart,10
12,Randy,Stephen,38
13,Jimbo,Stephen,8
14,Randy,Stuart,24
15,Jimbo,Stuart,6
16,Jimbo,Randy,27
17,Randy,Skeeter,11
18,Gerald,Skeeter,5
19,Skeeter,Stephen,4
20,Sharon,Skeeter,3
21,Gerald,Sharon,6
22,Sharon,Stephen,3
23,Randy,Secretary,1
24,People in Crowd,Randy,1
25,Crowd,Sharon,1
26,Bono,Crowd,1
27,Bono,Sharon,8
28,Skeeter,Stuart,2
29,Jimbo,Skeeter,1
30,Anchorman,Sharon,8
31,Assistant,Randy,13
32,Assistant,Jimbo,3
33,Assistant,Stephen,2
34,Assistant,Gerald,1
35,Bono,Butler,18
36,Butler,Stan,30
37,Bono,Stan,116
38,Assistant,Bono,7
39,Assistant,Sharon,1
40,Assistant,Stan,5
41,Bono,Randy,42
42,Bono,Jimbo,7
43,Jimbo,Sharon,1
44,Jimbo,Stan,5
