,source,target,weight
0,Butters,Mrs. Garrison,5
1,Butters,Stan,1
2,Butters,Principal Victoria,6
3,Butters,Mr. Mackey,1
4,Butters,Cartman,6
5,Butters,Kyle,2
6,Mrs. Garrison,Stan,4
7,Mrs. Garrison,Principal Victoria,24
8,Mr. Mackey,Mrs. Garrison,4
9,Cartman,Mrs. Garrison,24
10,Kyle,Mrs. Garrison,5
11,Principal Victoria,Stan,6
12,Mr. Mackey,Stan,1
13,Cartman,Stan,6
14,Kyle,Stan,1
15,Mr. Mackey,Principal Victoria,8
16,Cartman,Principal Victoria,42
17,Kyle,Principal Victoria,6
18,Cartman,Mr. Mackey,9
19,Kyle,Mr. Mackey,1
20,Cartman,Kyle,22
21,Kenny,Kyle,4
22,Cartman,Kenny,4
23,Cartman,Class,30
24,Linda,Stephen,35
25,Butters,Stephen,21
26,Butters,Linda,15
27,Mrs. Garrison,Stephen,2
28,A woman,Stephen,1
29,A woman,Mrs. Garrison,2
30,Husband,Mrs. Garrison,2
31,Mrs. Garrison,Officer,10
32,Mrs. Garrison,Sgt. Yates,7
33,Officer,Sgt. Yates,2
34,Chef,Mrs. Garrison,3
