,source,target,weight
0,Cartman,Liane,9
1,Kyle,Stan,62
2,Kenny,Kyle,2
3,Kenny,Stan,1
4,Butters,Cartman,335
5,Clyde,Kyle,4
6,Clyde,Jimmy,2
7,Butters,Clyde,1
8,Clyde,Stan,2
9,Butters,Jimmy,1
10,Jimmy,Stan,9
11,Jimmy,Kyle,5
12,Butters,Stan,1
13,Butters,Kyle,1
14,Butters,Greeter,34
15,Butters,Mother,7
16,Butters,Father,37
17,Cartman,Greeter,46
18,Cartman,Mother,9
19,Cartman,Father,51
20,Greeter,Mother,2
21,Father,Greeter,8
22,Father,Mother,1
23,Indy,Stan,20
24,Indy,Spielberg,80
25,Indy,Lucas,19
26,Spielberg,Stan,24
27,Lucas,Stan,13
28,Lucas,Spielberg,23
29,Butters,Patron,30
30,Cartman,Patron,42
31,Father,Patron,9
32,Greeter,Patron,6
33,Kyle,Stormy,30
34,Stan,Stormy,24
35,Indy,Stormy,4
36,Spielberg,Stormy,4
37,Lucas,Stormy,2
38,Captain,Cartman,21
39,Cartman,Officer,8
40,Butters,Captain,14
41,Captain,Officer,2
42,Butters,Officer,4
43,Det. Yates,Stan,4
44,Det. Yates,Kyle,8
45,Det. Yates,Jimmy,4
46,Det. Yates,Spielberg,24
47,Det. Yates,Indy,24
48,Det. Yates,Lucas,3
49,Kyle,Spielberg,16
50,Indy,Kyle,16
51,Kyle,Lucas,2
52,Jimmy,Spielberg,8
53,Indy,Jimmy,8
54,Jimmy,Lucas,1
55,Spielberg,Stormtrooper,1
56,Lucas,Stormtrooper,1
57,Kyle,Mitch,2
58,Det. Yates,Mitch,1
59,Clyde,Det. Yates,1
60,Mitch,Stan,1
61,Jimmy,Mitch,1
62,Clyde,Mitch,1
