,source,target,weight
0,Cartman,Kenny,22
1,Kenny,Kyle,17
2,Kenny,Stan,25
3,Cartman,Kyle,48
4,Cartman,Stan,81
5,Kyle,Stan,63
6,Sharon,Stan,10
7,Randy,Stan,12
8,Shelly,Stan,3
9,Randy,Sharon,32
10,Sharon,Shelly,5
11,Randy,Shelly,8
12,Cartman,Craig,19
13,Craig,Stan,21
14,Craig,Kyle,18
15,Chief aide,Michael Chertoff,28
16,Guard,Kyle,2
17,A musician,Kyle,1
18,Guard,Stan,2
19,A musician,Guard,2
20,Guard,Kenny,2
21,A musician,Stan,1
22,A musician,Kenny,1
23,Michael Chertoff,Translator,25
24,Kyle,Michael Chertoff,25
25,Michael Chertoff,Stan,35
26,Kyle,Translator,5
27,Stan,Translator,5
28,Laura,Thomas,16
29,Gerald,Laura,8
30,Laura,Sharon,16
31,Laura,Randy,8
32,Laura,Sheila,8
33,Gerlad,Laura,4
34,Gerald,Thomas,8
35,Sharon,Thomas,16
36,Randy,Thomas,8
37,Sheila,Thomas,8
38,Gerlad,Thomas,4
39,Gerald,Sharon,8
40,Gerald,Randy,4
41,Gerald,Sheila,4
42,Gerald,Gerlad,2
43,Sharon,Sheila,8
44,Gerlad,Sharon,4
45,Randy,Sheila,4
46,Gerlad,Randy,2
47,Gerlad,Sheila,2
48,Chief aide,Stan,9
49,Kenny,Michael Chertoff,6
50,Cartman,Michael Chertoff,10
51,Chief aide,Kyle,6
52,Chief aide,Kenny,3
53,Cartman,Chief aide,3
54,Craig,Michael Chertoff,4
55,Other Musicians,Thompson,2
56,Anchorman Tom,Paul Harris,12
57,Anchorman Tom,Shopper,3
58,Paul Harris,Shopper,4
59,Craig,Kenny,4
60,Mr. Garrison,Randy,10
61,Mr. Garrison,Officer Barbrady,2
62,Linda,Mr. Garrison,2
63,Mr. Garrison,Stephen,2
64,A Woman,Mr. Garrison,2
65,Officer Barbrady,Randy,5
66,Linda,Randy,5
67,Randy,Stephen,5
68,A Woman,Randy,5
69,Linda,Officer Barbrady,1
70,Officer Barbrady,Stephen,1
71,A Woman,Officer Barbrady,1
72,Linda,Stephen,1
73,A Woman,Linda,1
74,A Woman,Stephen,1
