,source,target,weight
0,Gerald,Obama,3
1,Gerald,Randy,3
2,Gerald,Supporters,1
3,Obama,Randy,9
4,Obama,Supporters,3
5,Randy,Supporters,4
6,Mr. Harris,Mrs. Harris,1
7,Mr. Adler,Mr. Harris,1
8,Mr. Harris,Randy,2
9,Linda Black,Mr. Harris,1
10,Mr. Adler,Mrs. Harris,1
11,Mrs. Harris,Randy,2
12,Linda Black,Mrs. Harris,1
13,Mr. Adler,Randy,2
14,Linda Black,Mr. Adler,1
15,Linda Black,Randy,2
16,Crowd,Stephen,4
17,Butters,Stephen,8
18,McCain,Stephen,4
19,Stephen,Supporters,4
20,Linda,Stephen,8
21,Mr. Mackey,Stephen,4
22,Mr. Garrison,Stephen,13
23,Randy,Stephen,4
24,Butters,Crowd,2
25,Crowd,McCain,1
26,Crowd,Supporters,1
27,Crowd,Linda,2
28,Crowd,Mr. Mackey,1
29,Crowd,Mr. Garrison,2
30,Crowd,Randy,25
31,Butters,McCain,2
32,Butters,Supporters,2
33,Butters,Linda,4
34,Butters,Mr. Mackey,2
35,Butters,Mr. Garrison,4
36,Butters,Randy,2
37,McCain,Supporters,1
38,Linda,McCain,2
39,McCain,Mr. Mackey,1
40,McCain,Mr. Garrison,2
41,McCain,Randy,1
42,Linda,Supporters,2
43,Mr. Mackey,Supporters,1
44,Mr. Garrison,Supporters,2
45,Linda,Mr. Mackey,2
46,Linda,Mr. Garrison,4
47,Linda,Randy,2
48,Mr. Garrison,Mr. Mackey,2
49,Mr. Mackey,Randy,1
50,Mr. Garrison,Randy,2
51,Kyle,Stan,19
52,McCain,Obama,74
53,Barbrady,Crowd,16
54,Crowd,Stan,4
55,Cartman,Crowd,4
56,Barbrady,Randy,24
57,Randy,Stan,40
58,Cartman,Randy,6
59,Barbrady,Stan,4
60,Barbrady,Cartman,4
61,Cartman,Stan,1
62,McCain,Quincy,36
63,Obama,Quincy,46
64,Ike,Kyle,2
65,Kyle,Randy,10
66,Stan,Stephen,8
67,Mr. Garrison,Stan,2
68,Kyle,Stephen,12
69,Kyle,Mr. Garrison,3
70,Michelle,Obama,51
71,Obama,Sarah,3
72,McCain,Michelle,16
73,Michelle,Sarah,5
74,McCain,Sarah,2
75,Kyle,Nurse,8
76,Nurse,Stan,8
77,Nurse,Randy,4
78,Kyle,Obama,8
79,Ike,Obama,8
80,Michelle,Quincy,7
81,Kyle,Michelle,3
82,Ike,Michelle,3
83,Kyle,Quincy,1
84,Ike,Quincy,1
