,source,target,weight
0,Spiky Vampire,Vampir,22
1,Midnight Vampire,Spiky Vampire,4
2,Butters,Spiky Vampire,15
3,Sparkly Vampire,Spiky Vampire,4
4,Bloodrayne,Spiky Vampire,4
5,Other Vampires,Spiky Vampire,3
6,Spiky Vampire,Tape,3
7,Midnight Vampire,Vampir,15
8,Butters,Vampir,63
9,Sparkly Vampire,Vampir,12
10,Bloodrayne,Vampir,12
11,Other Vampires,Vampir,5
12,Tape,Vampir,5
13,Butters,Midnight Vampire,11
14,Midnight Vampire,Sparkly Vampire,2
15,Bloodrayne,Midnight Vampire,2
16,Midnight Vampire,Other Vampires,1
17,Midnight Vampire,Tape,1
18,Butters,Sparkly Vampire,5
19,Bloodrayne,Butters,5
20,Butters,Other Vampires,5
21,Butters,Tape,5
22,Bloodrayne,Sparkly Vampire,2
23,Other Vampires,Sparkly Vampire,1
24,Sparkly Vampire,Tape,1
25,Bloodrayne,Other Vampires,1
26,Bloodrayne,Tape,1
27,Other Vampires,Tape,1
28,Pete,Vampir,58
29,Henrietta,Vampir,27
30,Michael,Vampir,33
31,Other Vamps,Vampir,7
32,Pete,Spiky Vampire,6
33,Henrietta,Spiky Vampire,3
34,Michael,Spiky Vampire,2
35,Other Vamps,Spiky Vampire,1
36,Henrietta,Pete,52
37,Michael,Pete,47
38,Midnight Vampire,Pete,6
39,Bloodrayne,Pete,6
40,Pete,Sparkly Vampire,6
41,Other Vamps,Pete,6
42,Henrietta,Michael,24
43,Henrietta,Midnight Vampire,3
44,Bloodrayne,Henrietta,3
45,Henrietta,Sparkly Vampire,3
46,Henrietta,Other Vamps,3
47,Michael,Midnight Vampire,2
48,Bloodrayne,Michael,2
49,Michael,Sparkly Vampire,2
50,Michael,Other Vamps,2
51,Midnight Vampire,Other Vamps,1
52,Bloodrayne,Other Vamps,1
53,Other Vamps,Sparkly Vampire,1
54,Butters,Linda,21
55,Butters,Stephen,69
56,Butters,Cowlick Vampire,6
57,Cowlick Vampire,Vampir,3
58,Cowlick Vampire,Midnight Vampire,1
59,Little Vamp,Pete,2
60,Pete,Shades Vamp,2
61,Little Vamp,Michael,2
62,Michael,Shades Vamp,2
63,Henrietta,Little Vamp,2
64,Henrietta,Shades Vamp,2
65,Little Vamp,Shades Vamp,1
66,Linda,Stephen,19
67,Pete,Principal Victoria,6
68,Mr. Mackey,Pete,2
69,Michael,Principal Victoria,6
70,Michael,Mr. Mackey,2
71,Mr. Mackey,Principal Victoria,3
72,Principal Victoria,Vampir,6
73,Mr. Mackey,Vampir,2
74,Firkle,Michael,2
75,Firkle,Pete,3
76,Butters,Cartman,15
77,Cartman,Liane,15
78,Butters,Liane,9
79,Firkle,Henrietta,2
80,Goths,Henrietta,2
81,Goths,Michael,5
82,Goths,Pete,4
83,Goths,Vampir,3
84,Henrietta,Waitress,16
85,Butters,Henrietta,13
86,Pete,Waitress,16
87,Butters,Waitress,12
88,Butters,Pete,15
89,Butters,Michael,2
90,Pete,Spiky Vamp,1
91,Clerk,Pete,1
92,Butters,Spiky Vamp,1
93,Clerk,Spiky Vamp,1
94,Butters,Clerk,1
