,source,target,weight
0,Cartman,Jimmy,298
1,Jimmy,Sarah,28
2,Cartman,Sarah,31
3,Clyde,Jimmy,8
4,Jimmy,Stan,1
5,Butters,Jimmy,13
6,Jimmy,Tolkien,2
7,Cartman,Clyde,27
8,Cartman,Stan,7
9,Butters,Cartman,33
10,Cartman,Tolkien,14
11,Clyde,Stan,3
12,Butters,Clyde,10
13,Clyde,Tolkien,6
14,Butters,Stan,3
15,Stan,Tolkien,2
16,Butters,Tolkien,6
17,Peterson,Stephen,1
18,David Letterman,Paul Shaffer,1
19,Kanye,Tom Snyder,110
20,Cartman,Kyle,30
21,Jimmy,Kyle,35
22,Craig,Kyle,28
23,Cartman,Craig,12
24,Craig,Jimmy,20
25,Doctor,Kanye,3
26,Conan O'Brien,Mencia,1
27,Cartman,Conan O'Brien,1
28,Cartman,Mencia,1
29,Audience,Kanye,2
30,House,Kanye,6
31,Jimmy,Wendy,10
32,Cartman,Wendy,12
33,Butters,Sarah,3
34,Clyde,Sarah,2
35,Sarah,Wendy,3
36,Butters,Wendy,2
37,Clyde,Wendy,1
38,Kanye,Mencia,36
39,Cartman,Ellen,20
40,Ellen,Jimmy,12
41,Jimmy,Kanye,22
42,Cartman,Kanye,20
